TITLE,Taq temp test HEPES 10-28-2020,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/10/28,,
TIME,20:38:32,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,300,,
LASTX,190,,
NPOINTS,1101,,
FIRSTY,0.69182,,
MAXY,1.20277,,
MINY,-4.83543,,
XYDATA,,,
300,0.69182,258.506,0.804426
299.9,0.728299,258.506,0.80443
299.8,0.700994,258.507,0.804443
299.7,0.684373,258.481,0.804128
299.6,0.584004,258.513,0.804509
299.5,0.596352,258.534,0.80476
299.4,0.611508,258.526,0.804663
299.3,0.563745,258.523,0.804631
299.2,0.54209,258.507,0.804442
299.1,0.428573,258.491,0.804245
299,0.364458,258.489,0.804228
298.9,0.4077,258.48,0.80412
298.8,0.407522,258.444,0.803684
298.7,0.470267,258.375,0.802864
298.6,0.330003,258.366,0.802747
298.5,0.266796,258.37,0.802804
298.4,0.314923,258.377,0.802883
298.3,0.21026,258.378,0.80289
298.2,0.306921,258.353,0.802595
298.1,0.244151,258.356,0.802635
298,0.199488,258.362,0.802707
297.9,0.25563,258.376,0.802871
297.8,0.189157,258.369,0.802785
297.7,0.221176,258.352,0.802581
297.6,0.24655,258.322,0.802227
297.5,0.325071,258.311,0.802088
297.4,0.395066,258.31,0.80208
297.3,0.444127,258.311,0.80209
297.2,0.465355,258.334,0.802363
297.1,0.494745,258.308,0.802062
297,0.455588,258.323,0.802235
296.9,0.507268,258.334,0.802365
296.8,0.567297,258.335,0.802375
296.7,0.471226,258.335,0.802378
296.6,0.486287,258.314,0.802128
296.5,0.511412,258.326,0.802274
296.4,0.481536,258.313,0.802115
296.3,0.499579,258.304,0.802012
296.2,0.522398,258.307,0.80205
296.1,0.509481,258.29,0.801843
296,0.489164,258.275,0.801664
295.9,0.507376,258.253,0.801393
295.8,0.480154,258.217,0.800964
295.7,0.407826,258.212,0.800903
295.6,0.381721,258.164,0.800336
295.5,0.27841,258.17,0.800407
295.4,0.34998,258.142,0.800074
295.3,0.395819,258.094,0.79949
295.2,0.343166,258.074,0.799258
295.1,0.409706,258.067,0.799164
295,0.433925,258.049,0.798951
294.9,0.488158,258.045,0.798907
294.8,0.557104,258.053,0.799
294.7,0.507674,258.027,0.798685
294.6,0.614067,258.02,0.798611
294.5,0.582859,258.014,0.798533
294.4,0.535578,257.999,0.798355
294.3,0.543951,258.002,0.798387
294.2,0.549859,258.002,0.798389
294.1,0.562029,258,0.798364
294,0.599573,257.98,0.798124
293.9,0.578305,257.96,0.797888
293.8,0.558802,257.988,0.798222
293.7,0.547889,257.967,0.797971
293.6,0.609152,257.965,0.797944
293.5,0.564509,257.95,0.797761
293.4,0.548365,257.952,0.797796
293.3,0.528242,257.958,0.797858
293.2,0.479304,257.978,0.798103
293.1,0.438622,257.95,0.797768
293,0.457388,257.924,0.797452
292.9,0.443554,257.871,0.796815
292.8,0.407694,257.876,0.796875
292.7,0.357949,257.849,0.796551
292.6,0.480141,257.824,0.796257
292.5,0.518217,257.792,0.795876
292.4,0.51494,257.742,0.795276
292.3,0.490228,257.709,0.794873
292.2,0.518676,257.682,0.794546
292.1,0.608046,257.661,0.794303
292,0.59577,257.602,0.79359
291.9,0.53474,257.531,0.792734
291.8,0.42341,257.46,0.791888
291.7,0.480861,257.378,0.790898
291.6,0.480268,257.313,0.790122
291.5,0.467684,257.222,0.789024
291.4,0.507224,257.127,0.787881
291.3,0.447441,257.104,0.787606
291.2,0.331313,257.096,0.787514
291.1,0.423718,257.113,0.787717
291,0.511249,257.141,0.788056
290.9,0.483735,257.211,0.788895
290.8,0.505287,257.254,0.789415
290.7,0.512725,257.325,0.790266
290.6,0.525607,257.425,0.79146
290.5,0.50195,257.514,0.792539
290.4,0.475344,257.568,0.793185
290.3,0.520866,257.598,0.793546
290.2,0.491485,257.645,0.794108
290.1,0.453137,257.677,0.794496
290,0.572636,257.688,0.794619
