TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
320,4069.019774,259.963,0.82183
319.9,10672.16755,258.565,0.805132
319.8,14662.06277,259.329,0.814262
319.7,2170.957093,258.994,0.810269
319.6,10177.38436,258.316,0.802148
319.5,5717.437541,259.886,0.820912
319.4,4661.388786,259.314,0.814086
319.3,3803.855368,260.86,0.832508
319.2,3366.862891,259.993,0.822181
319.1,12458.98176,259.722,0.818953
319,9418.042227,259.161,0.812259
318.9,3670.61015,259.015,0.810512
318.8,13961.95656,259.529,0.816656
318.7,15525.96059,259.438,0.815574
318.6,6106.893813,258.708,0.806841
318.5,-2479.789536,259.431,0.815479
318.4,12843.50551,260.373,0.826714
318.3,109.4454517,259.496,0.816263
318.2,10310.0377,259.214,0.812895
318.1,15479.39238,259.459,0.815817
318,10983.36708,259.583,0.817305
317.9,4294.318951,258.898,0.809117
317.8,959.8251442,259.351,0.814532
317.7,15805.57335,258.575,0.805255
317.6,13714.05948,260.23,0.825015
317.5,12597.77061,259.895,0.82102
317.4,3550.276921,259.823,0.820156
317.3,13330.99022,258.948,0.809713
317.2,8816.946031,259.415,0.81529
317.1,17845.86672,259.242,0.813233
317,8182.59168,260.046,0.822816
316.9,9753.699673,259.197,0.812692
316.8,4137.343853,258.915,0.809321
316.7,13525.45713,259.866,0.820669
316.6,-659.0339145,259.795,0.819831
316.5,16296.17761,258.977,0.810066
316.4,20762.02224,259.332,0.814302
316.3,-1136.838591,259.148,0.81211
316.2,1422.078439,259.572,0.817169
316.1,18029.60643,260.203,0.824691
316,10257.55676,258.78,0.807708
315.9,12070.2395,260.036,0.822694
315.8,7486.714832,259.219,0.812949
315.7,13229.84744,259.733,0.819088
315.6,6701.612042,259.066,0.811122
315.5,-1087.642306,258.982,0.81012
315.4,13423.21064,259.906,0.821155
315.3,-2154.362846,258.24,0.801238
315.2,19875.86261,257.162,0.788305
315.1,4534.238824,259.205,0.812787
315,3810.42015,259.006,0.810404
314.9,21501.52483,259.127,0.811853
314.8,-219.3228861,258.616,0.805743
314.7,4624.615965,259.878,0.820817
314.6,19236.55742,258.936,0.809578
314.5,21029.86291,257.533,0.792757
314.4,25026.19037,259.263,0.813477
314.3,5733.564071,259.503,0.816344
314.2,15375.73912,259.412,0.815263
314.1,9470.230729,258.74,0.807234
314,161.7952845,258.673,0.806421
313.9,8091.230703,258.464,0.803925
313.8,2314.584374,258.882,0.808928
313.7,14120.32463,259.222,0.81299
313.6,13663.86579,259.301,0.813937
313.5,11386.72596,258.547,0.804915
313.4,9487.482902,259.201,0.812733
313.3,17265.29084,259.074,0.811217
313.2,-530.7463216,258.128,0.799894
313.1,10388.20103,258.307,0.802039
313,13356.58125,257.797,0.795926
312.9,8106.64186,258.737,0.807193
312.8,2669.31013,259.281,0.813693
312.7,849.7608941,258.228,0.801102
312.6,1890.757196,259.474,0.815993
312.5,15239.89522,258.543,0.804875
312.4,18280.11124,258.868,0.808765
312.3,6872.620702,258.686,0.806583
312.2,15983.00295,259.142,0.812029
312.1,9589.589168,258.574,0.805241
312,4771.646185,258.814,0.808115
311.9,8623.617429,259.317,0.814127
311.8,4739.878484,259.195,0.812665
311.7,7101.401977,259.251,0.813342
311.6,11894.93454,258.687,0.806597
311.5,13481.17098,259.948,0.821655
311.4,6388.879088,259.026,0.810648
311.3,8358.098841,258.957,0.809822
311.2,4644.93205,259.012,0.810485
311.1,4731.126421,258.801,0.807952
311,5531.981204,258.952,0.809768
310.9,2760.754789,259.908,0.821169
310.8,19000.02985,258.91,0.809266
310.7,2959.362855,259.291,0.813815
310.6,12389.10933,259.855,0.820547
