TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
320,18767.32455,259.963,0.82183
319.9,7956.4792,258.565,0.805132
319.8,8612.283421,259.329,0.814262
319.7,23636.13294,258.994,0.810269
319.6,7423.622721,258.316,0.802148
319.5,7965.333717,259.886,0.820912
319.4,7818.389441,259.314,0.814086
319.3,1620.519139,260.86,0.832508
319.2,7562.843325,259.993,0.822181
319.1,5613.340987,259.722,0.818953
319,5801.083892,259.161,0.812259
318.9,3859.933977,259.015,0.810512
318.8,10853.10503,259.529,0.816656
318.7,12136.91504,259.438,0.815574
318.6,11501.71255,258.708,0.806841
318.5,10513.82662,259.431,0.815479
318.4,10713.62659,260.373,0.826714
318.3,8329.703321,259.496,0.816263
318.2,17830.28141,259.214,0.812895
318.1,13664.86319,259.459,0.815817
318,3931.803707,259.583,0.817305
317.9,18267.69456,258.898,0.809117
317.8,4654.418257,259.351,0.814532
317.7,6467.257963,258.575,0.805255
317.6,20532.50592,260.23,0.825015
317.5,18868.20498,259.895,0.82102
317.4,8285.776773,259.823,0.820156
317.3,-5373.43672,258.948,0.809713
317.2,13171.8577,259.415,0.81529
317.1,14721.95233,259.242,0.813233
317,5726.045534,260.046,0.822816
316.9,12998.10335,259.197,0.812692
316.8,21157.43354,258.915,0.809321
316.7,5864.788921,259.866,0.820669
316.6,-2897.835834,259.795,0.819831
316.5,10301.797,258.977,0.810066
316.4,8522.49658,259.332,0.814302
316.3,5095.99518,259.148,0.81211
316.2,17055.82666,259.572,0.817169
316.1,13421.48497,260.203,0.824691
316,8578.998126,258.78,0.807708
315.9,17716.06831,260.036,0.822694
315.8,19754.50936,259.219,0.812949
315.7,628.5372835,259.733,0.819088
315.6,13983.66879,259.066,0.811122
315.5,1329.170014,258.982,0.81012
315.4,13047.76102,259.906,0.821155
315.3,8541.499302,258.24,0.801238
315.2,9697.72284,257.162,0.788305
315.1,6610.257851,259.205,0.812787
315,15946.36356,259.006,0.810404
314.9,20164.32536,259.127,0.811853
314.8,9955.345188,258.616,0.805743
314.7,16461.07903,259.878,0.820817
314.6,10999.05642,258.936,0.809578
314.5,19696.82721,257.533,0.792757
314.4,9763.847877,259.263,0.813477
314.3,16579.62099,259.503,0.816344
314.2,17028.28832,259.412,0.815263
314.1,7624.745786,258.74,0.807234
314,13261.93856,258.673,0.806421
313.9,10093.19747,258.464,0.803925
313.8,-791.4852791,258.882,0.808928
313.7,-1915.624932,259.222,0.81299
313.6,8668.006944,259.301,0.813937
313.5,11286.79996,258.547,0.804915
313.4,14342.0336,259.201,0.812733
313.3,15638.66445,259.074,0.811217
313.2,9613.352748,258.128,0.799894
313.1,1756.489694,258.307,0.802039
313,12923.75028,257.797,0.795926
312.9,3583.295337,258.737,0.807193
312.8,21129.56952,259.281,0.813693
312.7,15534.52334,258.228,0.801102
312.6,19484.16726,259.474,0.815993
312.5,5488.543182,258.543,0.804875
312.4,5153.442112,258.868,0.808765
312.3,-816.85692,258.686,0.806583
312.2,14259.68546,259.142,0.812029
312.1,5315.121299,258.574,0.805241
312,6065.274189,258.814,0.808115
311.9,11351.08851,259.317,0.814127
311.8,17295.213,259.195,0.812665
311.7,8205.65323,259.251,0.813342
311.6,14876.88037,258.687,0.806597
311.5,15687.42491,259.948,0.821655
311.4,10353.07925,259.026,0.810648
311.3,-1574.593258,258.957,0.809822
311.2,7856.908288,259.012,0.810485
311.1,9002.83435,258.801,0.807952
311,-367.6196525,258.952,0.809768
310.9,8237.290658,259.908,0.821169
310.8,7850.708995,258.91,0.809266
310.7,17244.5828,259.291,0.813815
310.6,8372.541995,259.855,0.820547
