TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_CONTROL,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,13:58:08,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.19391,,
MAXY,6.42178,,
MINY,-3.32288,,
XYDATA,,,
320,-0.092295,208.503,0.151398
319.9,1.551053,208.644,0.153422
319.8,0.03667766667,208.212,0.147248
319.7,0.1973122333,208.236,0.147589
319.6,0.825562,208.419,0.150199
319.5,0.96427,208.292,0.148384
319.4,1.164362667,208.324,0.148838
319.3,1.259533333,207.771,0.140918
319.2,1.324448333,208.558,0.152192
319.1,-0.190399,207.883,0.142526
319,1.3852831,208.448,0.15062
318.9,1.433895667,208.219,0.147346
318.8,0.9112073333,208.073,0.145253
318.7,0.2629406333,208.304,0.148562
318.6,1.857924333,208.49,0.15122
318.5,0.7792603333,208.225,0.147427
318.4,1.311072667,207.95,0.143484
318.3,1.141646333,208.685,0.154005
318.2,1.288847333,208.622,0.153098
318.1,1.582393333,207.707,0.140008
318,0.7882788,208.746,0.154879
317.9,1.375038667,208.053,0.144961
317.8,0.7807644467,208.18,0.146778
317.7,1.070422667,208.236,0.147589
317.6,0.09275,208.122,0.145951
317.5,0.5110508667,208.273,0.148108
317.4,-0.01699933333,208.339,0.149064
317.3,0.5480172333,207.714,0.140105
317.2,0.7005126667,207.922,0.143094
317.1,0.375889,207.861,0.142217
317,0.2959941,207.686,0.139699
316.9,0.1022509,208.507,0.151463
316.8,-0.1187973333,208.317,0.14874
316.7,0.5252566667,208.361,0.149372
316.6,1.38521,207.844,0.141974
316.5,1.141544667,207.845,0.14199
316.4,0.6958033333,207.36,0.135032
316.3,0.3838713667,208.2,0.14707
316.2,0.8431656667,208.069,0.145188
316.1,0.5810013333,208.274,0.148124
316,0.687566,208.086,0.145432
315.9,0.8498943333,207.563,0.137943
315.8,1.66886,207.602,0.138496
315.7,0.4225986667,207.865,0.142266
315.6,1.050795667,207.808,0.141454
315.5,1.522128267,208.319,0.148773
315.4,0.8131546667,208.052,0.144945
315.3,-0.101266,208.112,0.145805
315.2,0.8935983333,207.807,0.141438
315.1,0.7122613333,207.406,0.135683
315,0.67312,207.417,0.135846
314.9,1.039658,207.701,0.139927
314.8,1.795143333,207.95,0.143484
314.7,0.9664543333,207.63,0.138903
314.6,0.4507286667,207.561,0.137911
314.5,0.8938176667,207.75,0.140625
314.4,0.7549946667,207.964,0.143695
314.3,1.625096667,207.636,0.138984
314.2,0.06188133333,207.609,0.138594
314.1,0.72008,208.016,0.144442
314,0.06615,207.593,0.138366
313.9,0.4595290333,207.766,0.140853
313.8,2.136746667,207.61,0.13861
313.7,1.071738,207.312,0.134332
313.6,0.8606802,206.473,0.122268
313.5,1.308255667,208.039,0.144766
313.4,0.8830146667,208.503,0.151398
313.3,0.9368673333,207.399,0.135585
313.2,-0.1255626667,208.355,0.149291
313.1,0.9005166667,207.061,0.130733
313,1.479712667,207.501,0.137049
312.9,0.594491,207.186,0.132525
312.8,1.176353333,207.171,0.132313
312.7,1.326027333,206.421,0.121517
312.6,1.019546333,207.551,0.137765
312.5,1.138849333,207.428,0.136008
312.4,1.07499,207.262,0.133616
312.3,0.187855,207.39,0.135455
312.2,1.190696667,207.637,0.139
312.1,0.3870562667,207.997,0.144166
312,0.106793,208.397,0.149891
311.9,1.564932333,206.928,0.12881
311.8,2.169843333,206.792,0.126854
311.7,1.02589,207.39,0.135455
311.6,1.685968667,208.032,0.144669
311.5,1.040623333,207.2,0.13272
311.4,0.8922076667,207.833,0.141811
311.3,1.232597,207.333,0.134641
311.2,0.7296773333,207.674,0.139537
311.1,0.7514596667,207.508,0.137147
311,0.8504313333,207.499,0.137017
310.9,1.008868513,207.554,0.137814
310.8,1.349549,207.49,0.136886
310.7,0.336389,207.444,0.136236
