TITLE,CC.SJ.9_28_22_ADDITIVE_KCL_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:21:11,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.05716,,
MAXY,63.3399,,
MINY,-41.84982,,
XYDATA,,,
320,1.99863,208.431,0.150377
319.9,1.973396667,208.535,0.151868
319.8,3.027236667,209.045,0.159149
319.7,0.949759,208.815,0.155866
319.6,1.08448488,208.347,0.149178
319.5,1.66923,209.133,0.160393
319.4,1.437978333,208.375,0.149567
319.3,1.044531667,208.428,0.150329
319.2,1.020390333,208.554,0.152127
319.1,2.56227,208.507,0.151463
319,1.045098333,208.997,0.158454
318.9,1.484440333,208.564,0.152273
318.8,1.771001,208.636,0.153309
318.7,1.888503333,208.364,0.149421
318.6,1.866561367,209.197,0.161315
318.5,0.627346,209.05,0.159214
318.4,2.797639333,208.951,0.157807
318.3,1.578361,208.13,0.146064
318.2,1.040926667,209.048,0.159181
318.1,1.2298031,208.598,0.152758
318,2.011843333,208.429,0.150345
317.9,1.841266667,208.731,0.154669
317.8,0.9879633333,208.863,0.156546
317.7,1.191187333,208.385,0.149713
317.6,1.047232333,208.91,0.157225
317.5,1.784736667,208.58,0.152499
317.4,2.411526667,208.35,0.14921
317.3,1.742788667,208.559,0.152208
317.2,0.8126756667,207.487,0.136854
317.1,1.401716333,208.674,0.153843
317,1.053340333,207.776,0.140999
316.9,2.205053333,207.87,0.142347
316.8,1.425938,208.818,0.155899
316.7,1.87029,208.521,0.151657
316.6,0.05532033333,208.841,0.156238
316.5,1.255891,208.882,0.156821
316.4,2.1535,207.9,0.14277
316.3,0.9423743333,207.851,0.142071
316.2,1.496676667,208.61,0.152936
316.1,1.66333,208.324,0.148838
316,0.3126864,208.055,0.144993
315.9,2.004630667,208.056,0.14501
315.8,1.332218667,207.563,0.137943
315.7,1.038141333,207.933,0.14324
315.6,0.527976,208.697,0.154183
315.5,1.357523333,208.934,0.157565
315.4,0.5352033333,208.106,0.145724
315.3,1.924553333,207.058,0.130684
315.2,1.468855933,209.28,0.162494
315.1,1.888952667,208.727,0.154604
315,1.068237133,208.447,0.150604
314.9,1.336494333,207.822,0.141649
314.8,0.9961116667,208.431,0.150377
314.7,-1.166231333,208.668,0.153762
314.6,1.385895667,207.76,0.140772
314.5,1.453713333,208.006,0.144296
314.4,1.370696667,207.955,0.143565
314.3,1.057309333,208.402,0.149956
314.2,1.145927,207.879,0.142477
314.1,1.189158333,208.134,0.146129
314,0.9301766667,208.565,0.152289
313.9,1.584098833,207.475,0.136675
313.8,0.3114763333,207.301,0.134186
313.7,1.0921,208.052,0.144945
313.6,0.6518013333,208.433,0.15041
313.5,1.288110333,207.59,0.138334
313.4,1.31061,208.222,0.147378
313.3,0.9654606667,207.928,0.143175
313.2,0.994748,208.544,0.151997
313.1,2.00831,207.173,0.132346
313,1.734071,208.029,0.14462
312.9,1.970856667,207.707,0.140008
312.8,0.5038863333,207.654,0.139244
312.7,1.497954,208.12,0.145918
312.6,0.9359555333,207.536,0.137553
312.5,2.2421,207.384,0.135374
312.4,2.107890333,207.166,0.132232
312.3,0.9900516667,208.131,0.146081
312.2,1.4727,207.758,0.140739
312.1,0.8565323333,207.732,0.140365
312,0.969035,208.776,0.1553
311.9,1.957616667,207.801,0.141356
311.8,1.246353,208.192,0.146956
311.7,1.290385,207.465,0.136529
311.6,0.9811881667,207.976,0.143857
311.5,1.207253333,207.546,0.1377
311.4,1.868906667,207.241,0.133323
311.3,1.201310333,208.146,0.146291
311.2,1.489114,208.512,0.151528
311.1,0.7159271667,207.871,0.142364
311,1.356721,207.303,0.134202
310.9,1.578011,208.033,0.144685
310.8,1.23304,207.929,0.143192
310.7,1.392401667,207.829,0.141762
310.6,1.112049333,208.296,0.148448
