TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:11:26,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.2816,,
MAXY,45.72734,,
MINY,-70.38342,,
XYDATA,,,
320,2.11249,207.539,0.137602
319.9,0.8366436667,209.116,0.160151
319.8,1.366989333,208.234,0.147557
319.7,0.882039,207.692,0.139797
319.6,1.315311667,208.804,0.155704
319.5,0.4083006667,208.063,0.145107
319.4,1.921353333,208.743,0.154831
319.3,1.010692667,206.937,0.128941
319.2,1.367503,208.132,0.146097
319.1,0.68291815,208.414,0.150134
319,0.441617,208.258,0.147897
318.9,2.1224,208.056,0.14501
318.8,2.10634,208.876,0.15674
318.7,1.277254667,208.283,0.148254
318.6,1.638053333,208.906,0.15716
318.5,1.74606,208.182,0.146811
318.4,0.8225286667,208.764,0.155138
318.3,1.525879333,207.765,0.140837
318.2,1.054108333,208.448,0.15062
318.1,0.6925156667,208.824,0.155996
318,1.153896967,209.174,0.160992
317.9,1.566396667,208.549,0.152062
317.8,1.386212667,208.446,0.150588
317.7,0.8303373333,208.311,0.148659
317.6,1.902086667,208.115,0.145853
317.5,1.106154667,207.86,0.142201
317.4,1.416356667,208.227,0.147459
317.3,0.2789253333,209.159,0.160765
317.2,1.475266,208.503,0.151398
317.1,1.044799,208.38,0.149648
317,1.273695433,208.346,0.149162
316.9,0.960761,208.895,0.156998
316.8,0.8228689333,207.622,0.138789
316.7,1.72448,208.027,0.144588
316.6,1.047666667,208.142,0.146243
316.5,1.003863167,208.163,0.146535
316.4,0.6234628333,208.515,0.151576
316.3,0.8804866667,207.675,0.139553
316.2,1.646602667,207.424,0.135943
316.1,2.041233333,208.29,0.148351
316,1.987736667,207.798,0.141308
315.9,1.112641667,208.347,0.149178
315.8,0.4723263333,208.137,0.146162
315.7,1.214580333,208.743,0.154831
315.6,0.79998,208.565,0.152289
315.5,0.8629713333,207.934,0.143257
315.4,1.102246,207.973,0.143825
315.3,1.232827467,208.055,0.144993
315.2,0.9312616667,207.938,0.143322
315.1,1.201523,207.893,0.142672
315,1.056363,207.885,0.142558
314.9,1.6749,207.967,0.143728
314.8,1.427782333,207.785,0.141129
314.7,0.3955584333,207.273,0.133779
314.6,0.122143,208.823,0.155979
314.5,1.725749,207.507,0.13713
314.4,1.22555,208.472,0.150961
314.3,0.6774676667,207.607,0.138578
314.2,1.138139667,207.481,0.136756
314.1,1.457873333,207.857,0.142152
314,0.7608126667,207.799,0.141324
313.9,0.996009,208.5,0.151366
313.8,1.289067,207.695,0.139829
313.7,1.243562867,207.137,0.131825
313.6,1.039311,207.745,0.140544
313.5,1.604615333,207.416,0.135829
313.4,0.871785,207.503,0.137082
313.3,0.861599,207.415,0.135813
313.2,1.651505667,207.992,0.144085
313.1,0.8746330333,208.139,0.146194
313,0.717562,207.996,0.14415
312.9,1.946653333,207.618,0.138724
312.8,1.904163667,207.816,0.141568
312.7,1.370714,207.513,0.137228
312.6,1.212953667,207.64,0.139049
312.5,0.8839033333,208.006,0.144296
312.4,0.838032,208.178,0.146762
312.3,1.06324,208.062,0.145091
312.2,1.706551133,206.928,0.12881
312.1,0.5348906667,207.814,0.141535
312,-0.3400236667,207.142,0.13189
311.9,1.223288333,207.331,0.134609
311.8,0.4287841,207.967,0.143728
311.7,1.909813333,208.225,0.147427
311.6,2.164996667,207.307,0.134267
311.5,0.036811,206.865,0.127914
311.4,0.9591696667,207.613,0.138659
311.3,1.028172333,207.066,0.130799
311.2,0.9291316667,207.601,0.13848
311.1,0.3902463333,207.25,0.133453
311,1.341607667,208.087,0.145448
310.9,1.383637,207.648,0.139163
310.8,1.33838,207.86,0.142201
310.7,0.8320082667,207.767,0.140869
310.6,0.55201,207.822,0.141649
