TITLE,AZNTEA_ADDITIVE&PROTEIN_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:55:35,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.04193,,
MAXY,51.60477,,
MINY,-66.95696,,
XYDATA,,,
320,1.742733333,208.122,0.1459483333
319.9,1.241108667,209.0483333,0.159197
319.8,1.424944,208.3496667,0.1492056667
319.7,1.377520333,208.2413333,0.1476573333
319.6,1.924979667,208.735,0.1547136667
319.5,1.643205567,208.025,0.1445593333
319.4,1.755147,207.998,0.1441743333
319.3,1.311453133,207.947,0.143446
319.2,0.3960283333,208.103,0.1456696667
319.1,1.327561333,208.5573333,0.1521646667
319,1.858645333,208.823,0.1559733333
318.9,1.547131333,208.3033333,0.148545
318.8,1.038323,208.4606667,0.150793
318.7,1.272183333,208.491,0.15123
318.6,0.358092,208.6503333,0.153506
318.5,1.76099,208.1376667,0.1461736667
318.4,1.889056667,208.396,0.149874
318.3,1.592889667,208.323,0.148825
318.2,1.742928333,208.53,0.1517886667
318.1,0.7654149,208.0223333,0.14452
318,2.110126667,208.4456667,0.1505823333
317.9,1.848513333,208.4913333,0.1512393333
317.8,1.388107667,208.4676667,0.1508916667
317.7,0.9380563333,208.2416667,0.1476643333
317.6,1.150389333,208.5663333,0.152309
317.5,0.8662413333,208.3666667,0.149441
317.4,1.839116667,208.5586667,0.1522016667
317.3,0.7355766667,208.6916667,0.1540953333
317.2,1.996646667,208.5683333,0.1523366667
317.1,2.047195333,208.445,0.1505696667
317,1.75774,208.1266667,0.1460156667
316.9,1.461188,208.4933333,0.151266
316.8,1.66242,208.042,0.1447996667
316.7,1.002450333,208.2326667,0.1475336667
316.6,1.129916133,207.8653333,0.142276
316.5,0.537163,208.1723333,0.146669
316.4,1.49561,208.1856667,0.146863
316.3,1.681125667,208.1483333,0.1463266667
316.2,1.129535667,208.3003333,0.1485033333
316.1,1.108923,208.384,0.149697
316,0.754258,208.3163333,0.148734
315.9,1.164490667,208.4156667,0.150148
315.8,1.567223333,208.189,0.1468993333
315.7,1.080923667,207.9606667,0.1436403333
315.6,1.83781,208.4873333,0.1511683333
315.5,0.9559173333,207.7,0.139904
315.4,1.280966667,207.8576667,0.1421683333
315.3,1.303608333,208.5573333,0.1521776667
315.2,0.726266,207.7703333,0.1409106667
315.1,0.644392,208.2306667,0.147502
315,1.271086667,208.1863333,0.1468753333
314.9,0.4003286667,208.8603333,0.1565033333
314.8,1.554623333,208.2006667,0.1470806667
314.7,1.179019667,207.7243333,0.1402493333
314.6,1.389414667,208.1293333,0.1460533333
314.5,2.27385,207.6596667,0.139321
314.4,1.725786667,207.9693333,0.1437633333
314.3,0.6431503,208.0153333,0.144425
314.2,1.616366667,208.06,0.145062
314.1,1.94454,207.1286667,0.131698
314,1.1705566,207.8976667,0.1427363333
313.9,1.2369,208.2206667,0.1473663333
313.8,1.358463,207.908,0.1428883333
313.7,1.587484667,208.1483333,0.1463276667
313.6,1.6034,207.965,0.1437023333
313.5,1.558015,208.1136667,0.1458306667
313.4,1.880546433,207.229,0.1331423333
313.3,1.980523333,207.8696667,0.142341
313.2,1.709706,208.0756667,0.1452816667
313.1,1.771283333,207.7993333,0.1413233333
313,1.237863333,207.1883333,0.1325563333
312.9,1.596587333,207.7753333,0.1409826667
312.8,1.374291,208.0143333,0.1444126667
312.7,0.67396,207.4676667,0.1365676667
312.6,0.5339576667,207.87,0.142335
312.5,1.072580667,207.7073333,0.1400066667
312.4,1.076459667,207.803,0.1413826667
312.3,1.834886667,207.7906667,0.141199
312.2,1.988809,207.6996667,0.1398943333
312.1,2.37401,207.9826667,0.1439566667
312,1.90134,208.036,0.1447203333
311.9,1.299506667,208.006,0.144284
311.8,0.6026413333,207.932,0.143229
311.7,1.642943333,208.1536667,0.1464066667
