TITLE,C2_JH_CW,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,15:36:54,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.04819,,
MAXY,44.44495,,
MINY,-74.25426,,
XYDATA,,,
320,-5537.143215,206.234,0.118821
319.9,-986.173913,206.16,0.117758
319.8,4460.812912,206.179,0.118019
319.7,-1208.919631,207.563,0.137943
319.6,2867.826087,206.448,0.121909
319.5,3235.528327,207.473,0.136642
319.4,-158.4453228,206.52,0.122937
319.3,739.2727273,206.693,0.125435
319.2,1252.447958,206.76,0.126397
319.1,-4077.43083,206.823,0.12731
319,2063.408432,206.479,0.122349
318.9,996.2345191,206.432,0.12168
318.8,4097.697628,206.555,0.123443
318.7,-2870.234519,206.224,0.118673
318.6,1358.330567,205.815,0.112767
318.5,-368.2740448,206.548,0.123345
318.4,5297.57365,206.436,0.121729
318.3,-2536.073781,206.409,0.121337
318.2,2004.338603,206.217,0.118575
318.1,-3103.92556,206.652,0.124847
318,-1860.296179,206.656,0.124896
317.9,-3980.40448,205.671,0.110687
317.8,794.8748353,207.013,0.130033
317.7,-2884.689065,206.508,0.122774
317.6,-3544.748353,207.346,0.13482
317.5,-3559.646509,206.406,0.121304
317.4,808.6442688,206.379,0.120912
317.3,2924.256917,206.668,0.125075
317.2,3696.927009,206.282,0.119507
317.1,-5928.513175,206.451,0.121941
317,-285.284585,206.702,0.125565
316.9,-1626.692754,206.698,0.1255
316.8,-600.5454545,206.295,0.119703
316.7,5073.71805,206.248,0.119017
316.6,2829.508564,206.41,0.121353
316.5,1298.521739,206.519,0.122921
316.4,-5955.318841,206.185,0.118117
316.3,-2734.421607,206.262,0.119229
316.2,1046.467721,206.064,0.116368
316.1,-6735.204216,206.146,0.117545
316,-2069.042161,206.167,0.117856
315.9,1651.380764,205.938,0.114552
315.8,1149.368906,206.275,0.119409
315.7,1739.720158,205.844,0.113193
315.6,-2708.277866,205.815,0.112767
315.5,-54.13175231,206.19,0.118183
315.4,3308.01581,205.531,0.108656
315.3,5394.652174,205.84,0.113128
315.2,-3155.820817,204.991,0.100844
315.1,1238.776021,205.835,0.113062
315,6087.079051,205.776,0.112211
314.9,4116.217918,205.417,0.107016
314.8,-274.7839262,205.799,0.112538
314.7,1162.747036,205.78,0.11226
314.6,3468.620553,205.916,0.114224
314.5,750.6324111,205.37,0.106327
314.4,1662.017128,205.887,0.113815
314.3,5446.849802,205.964,0.114928
314.2,1579.418972,205.15,0.103143
314.1,-5721.064559,206.617,0.124341
314,3661.915679,206.498,0.122627
313.9,259.2226614,206.18,0.118036
313.8,2243.545455,205.618,0.109917
313.7,-749.6706192,205.55,0.108934
313.6,5559.367589,205.885,0.113782
313.5,-3479.932806,205.016,0.101206
313.4,-650.8274045,205.882,0.113733
313.3,5596.421607,206.545,0.123297
313.2,585.9025033,206.243,0.118951
313.1,1483.437418,206.151,0.117627
313,376.8853755,206.38,0.120929
312.9,-6874.388669,205.141,0.103012
312.8,2118.822134,206.227,0.118722
312.7,1429.789196,206.439,0.121778
312.6,-523.8814229,205.484,0.107983
312.5,4477.022398,205.721,0.111408
312.4,1509.664032,205.009,0.101107
312.3,1438.11726,205.217,0.104112
312.2,3363.562055,205.554,0.109
312.1,-1299.215547,205.858,0.113389
312,-661.8511199,205.867,0.11352
311.9,2713.741765,206.094,0.116793
311.8,-2790.14888,205.941,0.114584
311.7,-754.1910408,205.039,0.101534
311.6,-1936.088274,205.192,0.103751
311.5,3922.960474,205.356,0.10613
311.4,-3412.474308,205.998,0.115419
311.3,1523.487484,206.013,0.115632
311.2,6152.312253,206.12,0.117169
311.1,-3913.234519,205.29,0.105179
311,3493.55336,205.433,0.107245
310.9,-2605.626614,205.168,0.103406
310.8,2606.26087,206.769,0.126527
310.7,1749.113307,206.537,0.123182
