TITLE,Sample_JH_CW,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,15:51:47,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.96153,,
MAXY,23.78934,,
MINY,-56.33782,,
XYDATA,,,
320,2456.890646,206.053,0.116204
319.9,1593.765481,206.567,0.123623
319.8,4453.781291,206.556,0.12346
319.7,1199.064559,206.704,0.125598
319.6,3878.913043,206.208,0.118444
319.5,4913.115942,206.49,0.122513
319.4,7519.670619,206.47,0.122219
319.3,9199.288538,207.328,0.13456
319.2,3425.121212,206.553,0.123411
319.1,6952.59552,206.427,0.121598
319,1270.604743,206.338,0.120324
318.9,3763.937154,206.337,0.120308
318.8,6275.797101,205.776,0.112211
318.7,7764.242424,206.069,0.116433
318.6,4845.660079,207.594,0.138383
318.5,6604.940711,206.88,0.128126
318.4,3904.474308,205.11,0.102569
318.3,7485.314888,206.392,0.121092
318.2,2746.878788,206.752,0.126283
318.1,5015.831357,205.444,0.107409
318,4128.73913,206.059,0.116286
317.9,6083.383399,205.993,0.115337
317.8,6589.667984,204.795,0.0980014
317.7,8876.152833,205.98,0.115157
317.6,5066.660079,206.337,0.120308
317.5,5503.541502,206.526,0.123035
317.4,7230.342556,206.355,0.120569
317.3,3047.664032,205.823,0.112882
317.2,4553.893281,206.124,0.117234
317.1,4314.793544,206.628,0.124504
317,3253.976285,205.893,0.113897
316.9,2302.332016,206.445,0.121859
316.8,4537.853755,205.886,0.113799
316.7,4351.408432,206.557,0.123476
316.6,-1043.6917,205.614,0.109868
316.5,3773.210804,205.323,0.105654
316.4,5049.328063,206.613,0.124276
316.3,3501.969697,206.634,0.124586
316.2,4218.98946,206.2,0.11833
316.1,5721.067194,205.859,0.113406
316,4420.937497,206.487,0.122464
315.9,6153.689065,205.636,0.110179
315.8,3568.985507,204.506,0.0938067
315.7,1556.484848,205.649,0.110376
315.6,9841.71278,206.091,0.11676
315.5,3500.437418,206.5,0.12266
315.4,10054.58498,205.269,0.104867
315.3,4091.658762,205.886,0.113799
315.2,907.2990777,207.062,0.13075
315.1,4328.831357,206.022,0.115762
315,4129.633729,204.864,0.0990041
314.9,6747.905138,205.924,0.114339
314.8,2847.740448,205.417,0.107016
314.7,8781.291173,204.975,0.100615
314.6,4344.288538,206.94,0.128989
314.5,1623.121568,206.412,0.121386
314.4,5202.437022,206.589,0.123933
314.3,3102.060606,205.693,0.110999
314.2,6496.192358,206.02,0.11573
314.1,5420.191041,205.953,0.114764
314,3991.538867,205.727,0.11149
313.9,5438.661397,205.321,0.105622
313.8,3281.009223,206.487,0.122464
313.7,4382.57971,205.11,0.102569
313.6,2388.893281,204.216,0.0895907
313.5,5041.963109,205.586,0.109458
313.4,3651.599473,205.636,0.110179
313.3,2178.628458,206.643,0.124716
313.2,4715.314888,204.812,0.098248
313.1,5113.401845,206.26,0.119196
313,2926.445323,205.984,0.115206
312.9,4971.581423,205.559,0.109065
312.8,1157.789196,205.263,0.104785
312.7,5659.562582,205.374,0.106393
312.6,6613.675889,205.789,0.112391
312.5,7706.640316,205.295,0.105244
312.4,6335.587615,206.112,0.117055
312.3,1749.860343,206.206,0.118412
312.2,2044.378129,206.065,0.116384
312.1,5547.754941,205.981,0.115173
312,5847.873518,205.899,0.113979
311.9,-516.7364954,206.317,0.120013
311.8,3872.176548,205.046,0.101633
311.7,2433.943347,205.889,0.113832
311.6,2321.606061,205.025,0.101337
311.5,1455.152833,206.413,0.121402
311.4,4778.766798,205.804,0.112604
311.3,2632.483531,205.804,0.112604
311.2,5273.268775,205.477,0.107885
311.1,6291.421607,206.313,0.119965
311,3892.561265,205.277,0.104982
310.9,2257.216074,205.833,0.113029
310.8,3175.59025,204.588,0.0949915
310.7,3827.335968,205.724,0.111457
310.6,6722.661397,205.985,0.115223
310.5,4654.623188,205.771,0.112129
