TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/28,,
TIME,16:46:07,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,260,,
LASTX,190,,
NPOINTS,701,,
FIRSTY,1.35162,,
MAXY,12.10479,,
MINY,-4.37448,,
XYDATA,,,
260.00,1.35,253.00,0.74
259.90,-0.10,252.93,0.74
259.80,1.06,253.07,0.74
259.70,0.49,252.91,0.74
259.60,-0.21,253.18,0.74
259.50,0.31,252.94,0.74
259.40,0.07,253.03,0.74
259.30,0.01,253.08,0.74
259.20,0.09,253.25,0.74
259.10,-0.34,253.07,0.74
259.00,0.13,252.90,0.74
258.90,0.81,253.01,0.74
258.80,0.24,253.19,0.74
258.70,-0.68,253.34,0.74
258.60,0.91,253.27,0.74
258.50,0.27,253.47,0.74
258.40,0.34,253.28,0.74
258.30,-0.30,253.43,0.74
258.20,0.21,253.40,0.74
258.10,0.61,253.24,0.74
258.00,0.84,253.27,0.74
257.90,0.39,253.41,0.74
257.80,0.81,253.46,0.74
257.70,0.13,253.34,0.74
257.60,0.28,253.54,0.74
257.50,1.55,253.59,0.75
257.40,-0.69,253.46,0.74
257.30,0.44,253.49,0.74
257.20,0.30,253.84,0.75
257.10,0.32,253.52,0.74
257.00,-0.49,253.59,0.75
256.90,0.23,253.56,0.74
256.80,0.36,253.28,0.74
256.70,0.44,253.61,0.75
256.60,0.25,253.62,0.75
256.50,-0.19,253.58,0.75
256.40,0.22,254.01,0.75
256.30,-0.87,253.75,0.75
256.20,0.31,253.77,0.75
256.10,-0.11,253.71,0.75
256.00,0.86,253.71,0.75
255.90,-0.37,253.91,0.75
255.80,0.21,254.06,0.75
255.70,1.16,254.18,0.75
255.60,0.73,253.72,0.75
255.50,1.32,254.18,0.75
255.40,-1.18,254.05,0.75
255.30,1.09,254.02,0.75
255.20,0.36,253.98,0.75
255.10,0.53,254.12,0.75
255.00,0.69,253.92,0.75
254.90,0.73,253.98,0.75
254.80,-0.13,254.30,0.75
254.70,0.17,254.01,0.75
254.60,0.27,254.17,0.75
254.50,1.39,254.36,0.75
254.40,0.55,253.98,0.75
254.30,0.60,254.28,0.75
254.20,0.36,254.31,0.75
254.10,-0.05,254.25,0.75
254.00,0.69,254.27,0.75
253.90,1.19,254.19,0.75
253.80,0.47,254.40,0.75
253.70,0.56,254.29,0.75
253.60,0.01,254.62,0.76
253.50,0.46,254.37,0.75
253.40,0.13,254.43,0.76
253.30,0.19,254.58,0.76
253.20,0.01,254.37,0.75
253.10,0.51,254.52,0.76
253.00,1.28,254.64,0.76
252.90,0.73,254.55,0.76
252.80,-1.19,254.51,0.76
252.70,1.19,254.53,0.76
252.60,0.85,254.51,0.76
252.50,0.43,254.53,0.76
252.40,0.67,254.20,0.75
252.30,0.91,254.37,0.75
252.20,0.35,255.18,0.76
252.10,0.51,254.64,0.76
252.00,0.25,254.54,0.76
251.90,1.38,254.78,0.76
251.80,-0.97,254.89,0.76
251.70,0.74,254.83,0.76
251.60,-0.32,254.51,0.76
251.50,0.20,254.70,0.76
251.40,0.10,254.62,0.76
251.30,-0.10,254.60,0.76
251.20,0.00,253.94,0.75
251.10,0.95,254.75,0.76
251.00,-0.26,254.63,0.76
250.90,0.08,254.82,0.76
250.80,0.45,254.92,0.76
250.70,1.16,255.09,0.76
250.60,0.57,254.83,0.76
250.50,0.04,254.79,0.76
250.40,0.78,254.77,0.76
250.30,0.31,254.79,0.76
250.20,0.43,254.75,0.76
250.10,0.66,254.68,0.76
250.00,1.59,254.87,0.76
249.90,-0.47,254.77,0.76
249.80,-0.15,254.91,0.76
249.70,0.00,254.70,0.76
249.60,0.50,254.76,0.76
249.50,0.19,254.79,0.76
249.40,-0.12,254.59,0.76
249.30,0.30,254.82,0.76
249.20,0.61,254.67,0.76
249.10,-0.16,254.69,0.76
249.00,0.24,254.73,0.76
248.90,0.34,254.88,0.76
