TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/28,,
TIME,16:40:25,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,260,,
LASTX,190,,
NPOINTS,701,,
FIRSTY,0.83055,,
MAXY,4.32487,,
MINY,-1.8525,,
XYDATA,,,
260,0.830547,252.554,0.732484
259.9,0.707828,252.505,0.731881
259.8,0.730417,252.506,0.731903
259.7,0.416836,252.535,0.732255
259.6,0.57956,252.67,0.733898
259.5,-1.8525,252.556,0.73251
259.4,1.67138,252.661,0.733789
259.3,0.0567546,252.823,0.735769
259.2,-0.00600017,252.648,0.733637
259.1,-0.0996218,252.596,0.733
259,0.353396,252.863,0.736251
258.9,0.955087,252.928,0.737052
258.8,-0.0853012,252.646,0.733608
258.7,1.07267,252.712,0.734409
258.6,0.961472,252.88,0.736462
258.5,-0.242613,252.702,0.734292
258.4,0.51339,252.872,0.73637
258.3,1.1223,252.782,0.73527
258.2,0.38088,252.666,0.733857
258.1,-0.0659608,253.296,0.741524
258,0.697659,252.96,0.737435
257.9,0.515569,252.859,0.736209
257.8,0.586602,252.862,0.73624
257.7,0.572051,253.181,0.740131
257.6,-0.0269455,253.05,0.738536
257.5,0.799415,252.982,0.737708
257.4,-0.104056,252.633,0.733444
257.3,-0.757046,253.187,0.7402
257.2,0.0508397,253.449,0.743395
257.1,1.06402,253.133,0.739539
257,0.2097,253.065,0.738714
256.9,0.527195,253.098,0.739116
256.8,0.465074,253.135,0.739574
256.7,-0.0555334,253.056,0.738607
256.6,0.528108,253.371,0.74244
256.5,0.239635,253.352,0.742214
256.4,0.151768,253.574,0.744909
256.3,1.03487,253.223,0.740645
256.2,-0.151838,253.38,0.742557
256.1,-0.245652,253.044,0.738462
256,1.46849,253.368,0.742402
255.9,0.33063,253.479,0.743758
255.8,-0.166039,253.648,0.745817
255.7,1.01796,253.386,0.74263
255.6,-0.195289,253.591,0.745121
255.5,0.31617,253.472,0.743669
255.4,1.05429,253.204,0.740408
255.3,0.527624,253.496,0.743958
255.2,0.990803,253.467,0.743614
255.1,-0.332758,253.51,0.744136
255,1.02283,253.771,0.747314
254.9,0.966033,253.612,0.745375
254.8,0.0753189,253.518,0.744227
254.7,-0.286814,253.67,0.746076
254.6,-0.450922,253.649,0.745831
254.5,0.278657,253.716,0.746641
254.4,0.85653,253.818,0.747885
254.3,0.216248,253.798,0.747639
254.2,0.284417,253.926,0.749198
254.1,0.758714,253.793,0.747577
254,-0.314221,253.885,0.748689
253.9,0.621445,254.063,0.750852
253.8,0.64642,254.016,0.750286
253.7,1.24444,254.017,0.750296
253.6,0.153662,254.026,0.75041
253.5,0.420692,254.116,0.751504
253.4,0.385334,254.044,0.750632
253.3,0.276396,253.76,0.747179
253.2,0.14006,253.935,0.749305
253.1,1.28118,253.928,0.749218
253,-0.0755652,253.962,0.749634
252.9,0.589144,254.186,0.752348
252.8,0.506009,253.921,0.749135
252.7,0.588478,254.258,0.753225
252.6,0.273982,253.925,0.749176
252.5,0.0658691,254.203,0.752561
252.4,1.13145,254.184,0.752322
252.3,0.055761,254.149,0.751901
252.2,0.866701,254.32,0.753974
252.1,1.66015,254.34,0.754223
252,0.54134,254.283,0.753531
251.9,0.497231,254.509,0.756273
251.8,0.211272,254.473,0.755833
251.7,0.462056,254.514,0.756333
251.6,0.561079,254.084,0.751115
251.5,0.765205,254.177,0.752238
251.4,1.59804,254.424,0.755239
251.3,0.973968,254.538,0.756625
251.2,0.237953,254.319,0.753964
251.1,0.30171,254.381,0.754722
251,0.189544,254.326,0.75405
250.9,1.25882,254.336,0.75417
250.8,0.69427,254.402,0.754971
250.7,0.320369,254.325,0.754041
250.6,-0.193141,254.323,0.754014
250.5,0.00875468,254.31,0.75385
250.4,0.213768,254.508,0.756258
250.3,0.488533,254.424,0.755239
250.2,0.859498,254.623,0.757649
250.1,0.577473,254.498,0.75613
