TITLE,ECTC_PROTEIN&ADDITIVE_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:48:34,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.59321,,
MAXY,56.26346,,
MINY,-57.28013,,
XYDATA,,,
320,0.593214,207.674,0.139537
319.9,0.739556,208.489,0.151204
319.8,1.45065,208.855,0.156432
319.7,1.7796,208.407,0.150037
319.6,0.474797,207.999,0.144198
319.5,1.30774,208.157,0.146454
319.4,0.468207,208.19,0.146924
319.3,0.456734,207.786,0.141145
319.2,1.5878,208.142,0.146243
319.1,3.01365,208.248,0.147751
319,0.103738,208.689,0.15407
318.9,2.07878,207.859,0.142185
318.8,1.36743,208.033,0.144685
318.7,0.52313,208.476,0.151025
318.6,1.41437,207.933,0.14324
318.5,1.34716,207.452,0.13635
318.4,0.0683052,207.39,0.135455
318.3,2.12105,206.145,0.117529
318.2,-0.598031,208.178,0.146762
318.1,1.85259,208.052,0.144945
318,-0.523657,207.854,0.14212
317.9,1.13019,208.172,0.146665
317.8,0.43037,208.015,0.144425
317.7,1.21064,208.088,0.145464
317.6,1.97442,207.556,0.137846
317.5,2.30232,208.19,0.146924
317.4,0.776134,209.282,0.162526
317.3,1.94685,208.832,0.156109
317.2,0.934726,207.897,0.142737
317.1,2.67563,208.609,0.15292
317,-0.323024,208.325,0.148854
316.9,1.94121,207.84,0.141909
316.8,-1.00355,207.976,0.143857
316.7,1.16015,208.423,0.150264
316.6,1.0432,208.047,0.14488
316.5,1.46752,207.53,0.137472
316.4,1.87504,207.876,0.142429
316.3,0.920722,208.565,0.152289
316.2,3.24672,208.259,0.147913
316.1,1.82542,208.106,0.145724
316,1.48317,207.41,0.135748
315.9,0.179916,208.883,0.156837
315.8,-0.382148,208.352,0.149243
315.7,2.08988,207.646,0.13913
315.6,2.14828,207.824,0.141681
315.5,1.40701,208.111,0.145789
315.4,0.941655,208.122,0.145951
315.3,0.34653,207.565,0.137976
315.2,2.78882,207.995,0.144133
315.1,1.18404,207.89,0.142623
315,2.5804,207.135,0.131792
314.9,1.67349,208.091,0.145513
314.8,-0.0132574,207.911,0.142932
314.7,0.657079,207.978,0.14389
314.6,-0.520551,207.419,0.135878
314.5,0.61083,207.936,0.143289
314.4,1.84705,207.703,0.139943
314.3,1.18366,207.572,0.138074
314.2,3.1198,207.33,0.134592
314.1,-0.0568659,207.088,0.131124
314,-0.0196797,206.941,0.129006
313.9,0.715373,207.712,0.140073
313.8,0.24797,206.946,0.129071
313.7,0.289809,208.048,0.144896
313.6,0.838917,207.522,0.137358
313.5,0.00581911,207.615,0.138692
313.4,1.86172,208.046,0.144864
313.3,1.3497,208.103,0.145675
313.2,2.64825,208.071,0.145221
313.1,0.652916,207.993,0.144101
313,0.461065,207.183,0.132476
312.9,-0.721611,207.144,0.131922
312.8,1.91204,207.318,0.13443
312.7,0.871007,208.115,0.145853
312.6,3.03998,207.454,0.136382
312.5,0.842193,208.052,0.144945
312.4,-0.0835682,208.546,0.152013
312.3,0.833172,207.532,0.137488
312.2,0.0753659,207.646,0.13913
312.1,0.986448,207.73,0.140333
312,-0.00873857,208.173,0.146681
311.9,0.258271,208.04,0.144783
311.8,1.29575,207.297,0.13412
311.7,0.243532,207.765,0.140837
311.6,1.25847,207.237,0.133258
311.5,0.746782,207.619,0.13874
311.4,0.779177,207.363,0.135064
311.3,1.32367,207.479,0.13674
311.2,2.07654,207.876,0.142429
311.1,3.14642,208.002,0.144231
311,3.08899,207.876,0.142429
310.9,0.46155,207.022,0.130163
310.8,0.282965,207.987,0.14402
310.7,1.82546,208.15,0.146356
310.6,1.05492,207.147,0.131971
310.5,1.19307,207.019,0.13013
310.4,1.31177,207.887,0.142591
310.3,-0.160174,207.56,0.137895
310.2,1.42958,207.985,0.143987
310.1,0.336609,208.445,0.150572
