TITLE,class,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN,JASCO,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,21/09/28,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,16:11:38,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTROMETER/DATA SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCALE,1033,,,,,,,,,,,,,,,,,,,,,,,,,,
RESOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTAX,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
XUNITS,NANOMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNITS,CD [mdeg],,,,,,,,,,,,,,,,,,,,,,,,,,
Y2UNITS,HT [V],,,,,,,,,,,,,,,,,,,,,,,,,,
Y3UNITS,ABSORBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTX,260,,,,,,,,,,,,,,,,,,,,,,,,,,
LASTX,190,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOINTS,701,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTY,0.17797,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXY,12.60967,,,,,,,,,,,,,,,,,,,,,,,,,,
MINY,-5.51119,,,,,,,,,,,,,,,,,,,,,,,,,,
XYDATA,,,,,,,,,,pro. + buffer,,,,,,,,,buffer,,,,,,,,
260,0.177968,252.455,0.731276,0.177968,252.455,0.731276,0.475155,252.516,0.732018,1.17443,253.111,0.739272,-1.48615,252.594,0.732975,0.829253,252.567,0.732644,-0.0406697,251.907,0.724583,-0.938541,251.954,0.725155,-0.466794,251.808,0.723364
259.9,1.24253,252.618,0.733267,1.24253,252.618,0.733267,-0.358393,252.329,0.729737,-0.206799,252.383,0.730392,-0.458224,252.487,0.73167,0.302713,252.675,0.733966,0.216748,251.724,0.722346,1.37768,252.114,0.72711,0.761379,252.32,0.729633
259.8,-0.00935002,252.547,0.7324,-0.00935002,252.547,0.7324,1.99218,252.192,0.72807,0.674326,252.294,0.729309,-0.217331,252.609,0.733162,0.169206,252.537,0.732277,-0.0482103,251.307,0.717238,0.218543,252.068,0.726549,1.04231,252.334,0.729802
259.7,-0.0704132,252.394,0.730534,-0.0704132,252.394,0.730534,1.13953,252.14,0.727423,1.32186,252.694,0.734197,0.685204,252.737,0.734715,1.16542,252.456,0.731284,-0.0176977,251.941,0.724996,0.147051,251.975,0.725415,0.798459,252.313,0.729546
259.6,0.670985,252.382,0.730389,0.670985,252.382,0.730389,-0.298429,252.574,0.732728,0.892535,252.511,0.731957,0.751425,252.372,0.730257,0.119376,252.793,0.735398,0.262189,251.826,0.723596,-0.273952,252.295,0.729325,-0.465031,252.368,0.730214
259.5,-0.181867,252.374,0.730294,-0.181867,252.374,0.730294,0.228418,252.488,0.731677,0.672659,252.303,0.729424,0.534449,252.41,0.730726,0.661124,252.562,0.732578,0.200321,251.825,0.723575,0.563317,252.413,0.730762,0.0936026,252.396,0.730557
259.4,1.23732,252.353,0.730026,1.23732,252.353,0.730026,0.554504,252.604,0.7331,0.459868,252.348,0.729974,1.84815,252.618,0.733269,-0.179789,252.757,0.734959,0.594986,251.658,0.721539,0.144835,252.307,0.729468,0.956964,252.071,0.726589
259.3,0.102212,252.764,0.735049,0.102212,252.764,0.735049,1.40425,252.64,0.733539,-0.12032,252.429,0.730958,-0.759773,252.806,0.735565,1.05885,252.856,0.736168,-0.407272,252.076,0.726644,-0.501796,251.981,0.725484,-0.35718,252.333,0.729783
259.2,0.298455,252.258,0.728865,0.298455,252.258,0.728865,0.56599,252.653,0.733691,0.141614,252.613,0.733202,1.44365,252.778,0.735215,0.366364,252.912,0.736847,1.03401,252.2,0.728162,0.242059,252.334,0.729794,-0.340189,252.351,0.730012
