TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:22:56,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,2.22094,,
MAXY,5.38507,,
MINY,-0.49913,,
XYDATA,,,
290,2.22094,253.127,0.739472
289.9,1.07741,252.87,0.736344
289.8,1.76061,253.374,0.74248
289.7,1.4895,253.048,0.738504
289.6,1.03769,253.133,0.739548
289.5,1.07103,252.946,0.737266
289.4,1.20666,253.041,0.738424
289.3,0.943748,253.233,0.740762
289.2,1.72059,253.232,0.740752
289.1,1.81173,253.177,0.740086
289,2.03605,253.072,0.738802
288.9,0.786088,253.104,0.739197
288.8,1.24927,253.071,0.738794
288.7,2.07568,253.019,0.73816
288.6,2.54545,252.893,0.736622
288.5,1.69374,253.048,0.738514
288.4,0.670195,253.056,0.738605
288.3,1.85312,252.469,0.731447
288.2,1.95399,253.141,0.739639
288.1,2.24094,252.874,0.736391
288,1.52483,252.835,0.735918
287.9,1.52908,252.855,0.736157
287.8,1.95356,252.926,0.737017
287.7,1.16967,253.019,0.738157
287.6,1.08767,252.88,0.73646
287.5,2.21145,252.77,0.735114
287.4,1.54667,252.989,0.737791
287.3,1.66144,252.898,0.736684
287.2,2.02849,252.939,0.737183
287.1,0.971705,252.958,0.737414
287,2.0291,252.749,0.734864
286.9,1.28398,252.961,0.737446
286.8,1.68516,253.057,0.738616
286.7,1.70866,252.66,0.733774
286.6,1.82136,252.605,0.733107
286.5,2.01713,252.778,0.735216
286.4,1.51372,252.914,0.736876
286.3,1.11882,252.697,0.734225
286.2,1.26738,252.956,0.737392
286.1,0.97896,252.671,0.733908
286,1.31735,252.835,0.735907
285.9,1.41768,252.787,0.735328
285.8,2.05736,252.81,0.735608
285.7,1.56005,252.76,0.735004
285.6,1.03828,252.661,0.733791
285.5,1.55826,252.865,0.736278
285.4,0.801878,252.927,0.737038
285.3,1.34993,252.604,0.733098
285.2,1.67402,252.67,0.733898
285.1,1.12816,252.881,0.736473
285,1.72083,252.961,0.737446
284.9,0.442604,252.466,0.731409
284.8,0.871682,252.922,0.73698
284.7,2.01838,252.512,0.731971
284.6,2.0725,253.176,0.74007
284.5,1.52908,252.315,0.729571
284.4,1.18091,252.731,0.734643
284.3,1.22934,252.295,0.729325
284.2,2.01359,252.089,0.726808
284.1,0.755889,252.842,0.735999
284,0.790603,252.788,0.735341
283.9,1.30915,252.396,0.730551
283.8,1.19352,252.532,0.732215
283.7,1.08144,252.496,0.731774
283.6,1.72298,252.297,0.729342
283.5,1.45988,253.046,0.738481
283.4,0.833966,252.501,0.731838
283.3,0.660614,252.448,0.731196
283.2,1.42057,252.408,0.730707
283.1,1.58429,252.577,0.73277
283,2.21425,252.485,0.731648
282.9,1.68244,252.575,0.732742
282.8,1.30514,252.199,0.728145
282.7,1.74667,252.139,0.727421
282.6,0.178446,252.232,0.728557
282.5,0.805106,252.459,0.731328
282.4,1.86491,252.546,0.732393
282.3,1.21411,252.633,0.733447
282.2,1.1758,252.38,0.730358
282.1,1.30656,252.104,0.72699
282,1.39319,252.215,0.72834
281.9,0.490256,252.252,0.728794
281.8,1.49866,252.299,0.729373
281.7,1.66548,252.262,0.728923
281.6,0.89874,251.913,0.724658
281.5,1.82714,252.305,0.729446
281.4,2.0521,252.742,0.734776
281.3,0.790937,251.956,0.725184
281.2,0.936936,252.701,0.734283
281.1,1.6802,252.414,0.73078
281,0.744357,252.148,0.727532
280.9,0.764977,252.485,0.731641
280.8,1.17052,252.104,0.726992
280.7,1.49655,251.982,0.7255
280.6,0.999462,252.151,0.727567
280.5,1.9619,252.16,0.727672
280.4,1.26783,251.999,0.725707
280.3,1.30224,252.094,0.726869
280.2,1.40446,252.314,0.729555
280.1,1.47201,251.621,0.721077
280,0.976528,252.231,0.728545
279.9,1.38638,252.146,0.727501
