TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:27:01,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,2.04481,,
MAXY,4.95829,,
MINY,-1.25937,,
XYDATA,,,
290,2.04481,252.729,0.734625
289.9,2.03426,252.931,0.737083
289.8,0.883487,252.991,0.73782
289.7,1.54179,253.198,0.740341
289.6,1.09533,253.209,0.740472
289.5,1.31163,253.091,0.739034
289.4,2.04033,252.944,0.73724
289.3,2.06779,252.953,0.737347
289.2,0.83957,253.495,0.74395
289.1,1.60047,252.867,0.736301
289,0.991403,252.853,0.736135
288.9,1.93886,253.296,0.741533
288.8,1.90318,253.039,0.738397
288.7,1.56755,253.066,0.738732
288.6,1.12839,253.174,0.740044
288.5,1.90086,253.21,0.740486
288.4,2.86805,253.12,0.739392
288.3,1.31038,253.032,0.738314
288.2,1.66603,253.059,0.738645
288.1,0.965879,252.95,0.737318
288,1.52967,252.931,0.737088
287.9,2.16863,252.997,0.737889
287.8,-0.120433,252.653,0.733691
287.7,0.633846,253.033,0.738326
287.6,2.38397,253.079,0.738881
287.5,1.51645,253.182,0.740136
287.4,1.1134,252.814,0.735655
287.3,1.29799,253.052,0.738564
287.2,2.04411,252.875,0.736401
287.1,1.80496,252.838,0.735952
287,1.75628,252.986,0.73776
286.9,0.236559,252.922,0.736973
286.8,1.78493,252.67,0.733895
286.7,2.28247,252.555,0.732498
286.6,1.21623,252.842,0.735999
286.5,2.16468,252.748,0.734847
286.4,2.39912,252.602,0.733072
286.3,2.96055,253.025,0.738233
286.2,1.1911,252.901,0.736722
286.1,1.73545,253.051,0.738545
286,0.573857,252.934,0.737118
285.9,2.12415,252.941,0.737204
285.8,1.75926,252.798,0.73546
285.7,1.78226,252.743,0.734789
285.6,2.38912,252.761,0.735009
285.5,2.07232,252.551,0.732451
285.4,0.78143,252.679,0.734014
285.3,1.35866,252.77,0.735125
285.2,0.637077,252.627,0.733375
285.1,1.73391,252.393,0.730522
285,1.79449,252.802,0.73551
284.9,2.04082,252.462,0.731357
284.8,1.23886,252.44,0.731089
284.7,1.21903,252.617,0.733259
284.6,1.4356,252.494,0.731753
284.5,1.38355,252.42,0.730847
284.4,2.00374,252.616,0.733245
284.3,1.9546,252.483,0.731617
284.2,0.699372,252.616,0.733245
284.1,1.80673,252.422,0.730878
284,0.679859,252.567,0.732649
283.9,2.1895,252.427,0.73093
283.8,2.09833,252.659,0.733761
283.7,1.60676,252.681,0.734036
283.6,1.88506,252.246,0.728721
283.5,0.399138,252.517,0.732037
283.4,1.29762,252.399,0.730598
283.3,1.44961,252.444,0.731138
283.2,0.581451,252.682,0.73405
283.1,2.50739,252.524,0.732118
283,1.21605,253.032,0.738315
282.9,0.63932,252.099,0.72693
282.8,1.51845,252.33,0.729747
282.7,1.3021,252.524,0.732125
282.6,1.13908,252.317,0.729595
282.5,1.98173,252.443,0.731127
282.4,0.488403,252.335,0.729811
282.3,1.84439,252.469,0.731451
282.2,0.420846,252.38,0.730366
282.1,0.764335,252.256,0.728842
282,1.16935,252.636,0.733489
281.9,1.40606,252.47,0.731456
281.8,2.20736,252.275,0.729081
281.7,1.48256,252.184,0.727965
281.6,1.36759,252.332,0.729773
281.5,2.24161,252.295,0.729325
281.4,2.00961,252.263,0.728934
281.3,1.10956,252.223,0.728442
281.2,1.58492,252.355,0.730062
281.1,2.30045,252.571,0.732699
281,2.01463,251.881,0.724259
280.9,1.4872,252.337,0.72984
280.8,1.84597,252.118,0.727162
280.7,1.61873,252.482,0.73161
280.6,2.60429,252.192,0.728065
280.5,0.549559,252.088,0.726795
280.4,2.32144,251.704,0.722091
280.3,1.83735,252.399,0.730589
280.2,1.98117,252.098,0.726912
280.1,0.667009,252.105,0.726997
280,1.05372,251.882,0.724273
279.9,1.27244,252.213,0.728325
