TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:29:59,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,1.75653,,
MAXY,5.17258,,
MINY,-0.89957,,
XYDATA,,,
290,1.75653,253.079,0.738881
289.9,1.61489,253.064,0.738704
289.8,1.92805,253.281,0.74135
289.7,2.12788,253.184,0.740165
289.6,1.77702,253.162,0.739894
289.5,0.926497,252.988,0.737784
289.4,2.18437,253.347,0.742154
289.3,1.54386,253.034,0.738343
289.2,1.77171,252.888,0.736562
289.1,1.48775,253.411,0.742924
289,1.69712,252.764,0.735047
288.9,1.55662,253.204,0.740408
288.8,0.697505,253.206,0.740434
288.7,1.57832,253.334,0.741997
288.6,2.13482,253.072,0.738804
288.5,1.53219,253.079,0.738883
288.4,1.60932,253.227,0.740688
288.3,1.85469,253.173,0.740027
288.2,1.93073,252.863,0.736249
288.1,2.17588,252.982,0.73771
288,2.28987,253.272,0.741238
287.9,2.01832,253.343,0.7421
287.8,1.59331,252.823,0.735767
287.7,2.26988,252.809,0.735595
287.6,2.5081,252.817,0.735693
287.5,1.30296,252.828,0.735824
287.4,1.56552,252.797,0.735453
287.3,1.27642,252.856,0.73617
287.2,2.85316,252.935,0.737137
287.1,2.1815,252.961,0.737447
287,1.1182,252.831,0.735867
286.9,1.83196,252.958,0.737416
286.8,1.58661,253.002,0.737944
286.7,2.09149,252.981,0.737692
286.6,1.23287,252.68,0.734019
286.5,2.0543,252.781,0.735259
286.4,1.81265,252.989,0.737793
286.3,1.73396,253.167,0.739953
286.2,1.14175,252.932,0.73709
286.1,1.97077,252.94,0.737199
286,1.56028,252.993,0.737844
285.9,1.82912,252.682,0.734045
285.8,0.797852,252.776,0.735192
285.7,2.04544,252.758,0.734969
285.6,1.19723,252.639,0.733523
285.5,2.62071,252.499,0.731812
285.4,1.82951,252.843,0.736007
285.3,1.82753,252.818,0.7357
285.2,1.61892,252.59,0.732923
285.1,1.21863,252.837,0.735933
285,0.631577,252.841,0.735987
284.9,1.29245,252.826,0.735805
284.8,1.68859,252.748,0.734848
284.7,1.28378,252.677,0.73399
284.6,0.767939,252.749,0.734864
284.5,1.33714,252.873,0.73638
284.4,2.59745,252.781,0.735254
284.3,-0.108599,252.614,0.733212
284.2,2.08829,252.859,0.736209
284.1,1.73767,252.235,0.728588
284,1.43291,252.442,0.73112
283.9,1.45319,252.753,0.734912
283.8,1.4125,252.781,0.735253
283.7,1.33418,252.779,0.735228
283.6,2.82981,252.873,0.736382
283.5,0.974122,252.828,0.735829
283.4,0.890521,252.422,0.730878
283.3,3.16141,252.52,0.732076
283.2,1.19248,252.586,0.732879
283.1,1.87646,252.309,0.729493
283,1.10308,252.239,0.72864
282.9,1.36029,252.531,0.73221
282.8,1.1858,252.834,0.735902
282.7,1.51845,252.573,0.732718
282.6,1.8494,252.494,0.731753
282.5,1.27595,252.571,0.732693
282.4,2.09338,252.528,0.732163
282.3,1.72435,252.545,0.732372
282.2,0.689944,252.272,0.729043
282.1,1.9258,252.194,0.728089
282,1.35265,252.156,0.727622
281.9,2.5039,252.242,0.728678
281.8,0.457688,252.325,0.729693
281.7,1.92645,252.421,0.730863
281.6,1.95727,252.299,0.729367
281.5,0.856907,252.337,0.729839
281.4,2.31956,252.547,0.732405
281.3,0.993108,252.231,0.728541
281.2,2.12403,252.426,0.730918
281.1,1.82426,252.142,0.727454
281,2.13293,252.235,0.728591
280.9,1.89044,252.637,0.733499
280.8,1.16962,252.041,0.72622
280.7,1.50402,252.4,0.73061
280.6,1.49345,252.082,0.726722
280.5,1.5256,252.077,0.726665
280.4,1.11981,252.323,0.729669
280.3,1.74444,252.168,0.727771
280.2,1.73371,252.075,0.726634
280.1,1.10616,252.092,0.72684
280,2.09859,252.013,0.725881
279.9,1.93631,252.415,0.73079
