TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:58:21,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,0.55246,,
MAXY,12.6088,,
MINY,-3.58757,,
XYDATA,,,
290,0.552464,253.803,0.747703
289.9,1.72746,253.473,0.743679
289.8,1.22383,253.708,0.746537
289.7,1.5995,253.982,0.74987
289.6,1.76056,253.813,0.747818
289.5,1.89325,253.381,0.742562
289.4,0.934438,253.618,0.74545
289.3,2.05743,253.487,0.74386
289.2,2.21417,253.897,0.748846
289.1,0.420448,253.596,0.745176
289,1.22128,253.668,0.74606
288.9,1.9456,253.45,0.7434
288.8,1.32852,253.606,0.745302
288.7,1.52812,253.83,0.748026
288.6,1.38921,253.754,0.747097
288.5,1.48066,253.712,0.746594
288.4,1.50239,253.928,0.749218
288.3,1.18376,253.656,0.745905
288.2,1.845,253.555,0.744687
288.1,0.29947,253.495,0.743948
288,1.39305,253.393,0.742709
287.9,2.30096,253.544,0.744551
287.8,1.47824,253.562,0.74477
287.7,2.51939,253.695,0.746386
287.6,-0.0894323,253.534,0.744432
287.5,3.01386,253.799,0.747653
287.4,1.23475,253.488,0.743871
287.3,0.775595,253.443,0.743314
287.2,0.994508,253.384,0.742605
287.1,1.38561,253.397,0.74276
287,0.943266,253.603,0.745268
286.9,0.919261,253.347,0.742152
286.8,1.04624,253.461,0.743543
286.7,1.19913,253.518,0.744238
286.6,1.4783,253.271,0.741229
286.5,1.93695,253.365,0.742369
286.4,1.97201,253.656,0.745905
286.3,0.889889,253.673,0.746119
286.2,1.79448,253.409,0.742905
286.1,1.72344,253.651,0.745845
286,1.03282,253.32,0.741821
285.9,1.82666,253.62,0.745478
285.8,1.60167,253.51,0.744134
285.7,1.84384,253.278,0.741314
285.6,1.37786,253.256,0.741045
285.5,0.856061,253.422,0.743069
285.4,1.36726,253.433,0.743198
285.3,2.04709,253.382,0.742576
285.2,0.914147,253.079,0.738889
285.1,1.72587,253.357,0.742269
285,1.03662,253.409,0.742905
284.9,1.75887,253.103,0.739175
284.8,1.77591,253.531,0.744388
284.7,1.14694,253.442,0.743305
284.6,1.62736,253.231,0.740741
284.5,1.37112,253.378,0.742526
284.4,2.00434,253.525,0.744315
284.3,1.34526,253.302,0.741602
284.2,1.81974,253.298,0.741559
284.1,1.70878,253.7,0.746446
284,0.880547,253.362,0.742329
283.9,1.47532,253.131,0.739523
283.8,0.819584,253.201,0.740369
283.7,1.70072,253.422,0.743064
283.6,1.46242,253.218,0.740581
283.5,0.468113,253.251,0.740979
283.4,1.59862,253.345,0.742131
283.3,0.942281,252.944,0.737247
283.2,1.12656,253.277,0.741302
283.1,1.30499,252.997,0.737886
283,1.14925,252.963,0.737478
282.9,1.22064,253.143,0.739667
282.8,0.487627,253.132,0.739527
282.7,1.53272,252.958,0.737411
282.6,2.45476,253.114,0.739318
282.5,0.426242,252.903,0.736743
282.4,2.15848,253.048,0.738505
282.3,1.68632,253.266,0.741171
282.2,1.1557,252.986,0.737755
282.1,2.84033,252.854,0.736151
282,1.56025,253.112,0.739285
281.9,0.957012,252.977,0.737646
281.8,0.92363,253.188,0.740217
281.7,1.42923,253.126,0.739456
281.6,1.48946,253.026,0.738246
281.5,0.944561,253.044,0.738457
281.4,1.85504,252.892,0.736608
281.3,1.10193,252.935,0.737138
281.2,2.25975,253.002,0.737944
281.1,2.21557,252.929,0.737055
281,0.133844,252.765,0.735063
280.9,2.27294,252.767,0.735089
280.8,0.670538,252.838,0.735955
280.7,0.522642,252.912,0.736855
280.6,0.739318,252.754,0.734928
280.5,1.66559,253.039,0.738395
280.4,1.56154,252.783,0.735279
280.3,2.29457,252.941,0.737204
280.2,0.555438,252.939,0.737183
280.1,0.52422,252.772,0.735144
280,1.73444,252.9,0.736703
279.9,1.35621,252.972,0.737589
