TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,18:01:20,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,1.16991,,
MAXY,12.92791,,
MINY,-3.37221,,
XYDATA,,,
290,1.16991,253.512,0.744158
289.9,2.34422,253.434,0.74321
289.8,1.10388,254.041,0.750594
289.7,1.51888,253.788,0.74751
289.6,1.43457,254.092,0.751213
289.5,2.34017,253.846,0.748226
289.4,1.06869,254.089,0.751168
289.3,1.43276,253.682,0.746227
289.2,2.0143,253.88,0.748629
289.1,1.04108,253.794,0.747588
289,-0.135575,253.858,0.748371
288.9,1.13201,254.078,0.751041
288.8,0.798059,253.941,0.749379
288.7,1.12029,253.955,0.749548
288.6,0.935452,253.541,0.744517
288.5,0.930107,253.839,0.748135
288.4,1.51268,253.843,0.748187
288.3,1.16904,253.627,0.745562
288.2,2.25536,253.624,0.745521
288.1,0.11287,253.808,0.747763
288,1.74555,254.053,0.750738
287.9,1.19809,253.488,0.743867
287.8,-0.0819581,253.62,0.745467
287.7,1.07832,253.676,0.746158
287.6,1.99777,253.622,0.745502
287.5,2.74266,253.659,0.745941
287.4,0.12245,253.858,0.74836
287.3,2.75605,253.595,0.74517
287.2,1.54652,253.426,0.743117
287.1,2.35837,253.535,0.744444
287,2.34555,253.905,0.748934
286.9,0.865314,253.59,0.745109
286.8,0.818291,253.652,0.745867
286.7,0.569161,253.734,0.746854
286.6,2.79732,253.368,0.742402
286.5,1.36385,253.534,0.744422
286.4,2.21902,253.687,0.746286
286.3,1.01838,253.581,0.744996
286.2,1.43324,253.544,0.744549
286.1,1.06942,253.463,0.743567
286,1.42119,253.558,0.744722
285.9,1.17483,253.686,0.746279
285.8,1.34631,253.371,0.742447
285.7,1.50256,253.433,0.743204
285.6,1.54486,253.568,0.744837
285.5,1.60724,253.475,0.743712
285.4,1.25709,253.261,0.741105
285.3,1.16244,253.481,0.743781
285.2,0.430933,253.742,0.746954
285.1,0.956877,253.429,0.743152
285,1.70552,253.479,0.743752
284.9,1.07495,253.395,0.742735
284.8,1.15916,253.216,0.74056
284.7,0.962927,253.832,0.748049
284.6,1.20796,253.248,0.740941
284.5,0.797187,253.518,0.744236
284.4,1.36878,253.605,0.745294
284.3,2.23645,253.115,0.73932
284.2,2.56094,253.518,0.744227
284.1,0.739938,253.399,0.742783
284,1.34249,253.389,0.742661
283.9,0.887758,253.362,0.742335
283.8,1.26814,253.532,0.744401
283.7,1.42624,253.398,0.742778
283.6,1.64486,253.486,0.743839
283.5,1.21567,252.952,0.737337
283.4,0.565602,253.277,0.741302
283.3,0.732671,253.139,0.739618
283.2,0.280872,253.064,0.7387
283.1,1.15973,253.444,0.743331
283,2.4858,253.439,0.743276
282.9,2.08857,253.112,0.739292
282.8,1.3624,253.385,0.742614
282.7,2.25314,252.809,0.735591
282.6,0.524502,252.924,0.736995
282.5,0.706582,253.21,0.740479
282.4,0.45821,252.962,0.737458
282.3,1.44672,253.126,0.739458
282.2,1.10136,253.31,0.741704
282.1,1.01467,253.011,0.73806
282,1.38811,252.963,0.737468
281.9,2.49146,253.174,0.740044
281.8,2.3366,253.106,0.739213
281.7,1.30088,253.414,0.742967
281.6,1.5874,253.129,0.739499
281.5,2.0831,252.982,0.737708
281.4,1.22077,253.005,0.737982
281.3,-0.0682179,252.876,0.736415
281.2,1.62282,253.107,0.739223
281.1,1.20385,252.849,0.736087
281,1.3894,253.164,0.739917
280.9,1.09359,252.834,0.735895
280.8,1.75143,252.955,0.737378
280.7,1.45128,253.264,0.741143
280.6,1.46745,253.01,0.738041
280.5,1.3633,252.636,0.733489
280.4,1.06913,252.741,0.734762
280.3,2.19231,252.9,0.736708
280.2,2.1996,253.333,0.741983
280.1,0.885456,253.514,0.744187
280,2.2596,253.045,0.738467
279.9,1.94218,252.785,0.735304
