TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,18:04:16,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,1.34658,,
MAXY,12.02658,,
MINY,-4.01211,,
XYDATA,,,
290,1.34658,253.995,0.750031
289.9,1.08135,253.69,0.746327
289.8,1.26972,254.149,0.751898
289.7,1.35894,253.716,0.746646
289.6,1.62839,253.715,0.746628
289.5,1.53179,253.914,0.749044
289.4,0.752849,253.737,0.746899
289.3,1.52885,253.801,0.747672
289.2,0.445624,253.733,0.746851
289.1,1.33813,253.846,0.748221
289,0.364869,253.75,0.74705
288.9,1.33612,253.692,0.746348
288.8,0.613736,253.962,0.749636
288.7,2.66193,254.037,0.75054
288.6,1.67598,253.75,0.747054
288.5,1.81922,254.087,0.751146
288.4,1.92468,253.63,0.745599
288.3,0.245747,253.703,0.746486
288.2,2.04743,253.944,0.749417
288.1,1.49976,253.386,0.742624
288,1.68173,254.034,0.750499
287.9,2.34351,253.873,0.748553
287.8,1.1897,253.523,0.744294
287.7,1.35316,253.81,0.747778
287.6,2.146,254.613,0.757527
287.5,1.7708,253.491,0.743907
287.4,1.96505,253.534,0.744431
287.3,1.17919,253.411,0.742934
287.2,1.5359,253.466,0.743602
287.1,1.22614,253.774,0.747345
287,1.11708,254.252,0.753148
286.9,0.798486,253.937,0.749328
286.8,1.60146,253.487,0.743853
286.7,1.52074,253.436,0.743229
286.6,1.49557,253.632,0.745617
286.5,1.93554,253.517,0.744225
286.4,1.27205,253.673,0.746119
286.3,1.47316,253.048,0.738505
286.2,1.28046,253.783,0.747451
286.1,0.304651,253.181,0.740131
286,0.220462,253.65,0.745841
285.9,0.761969,253.408,0.742891
285.8,1.76557,253.561,0.74476
285.7,1.73379,253.279,0.741328
285.6,0.589886,253.059,0.738647
285.5,1.23567,253.212,0.740512
285.4,2.19898,253.203,0.740403
285.3,2.67316,252.833,0.735888
285.2,0.109799,253.493,0.743929
285.1,1.60084,253.041,0.738424
285,0.908395,253.449,0.743393
284.9,1.67437,253.621,0.74548
284.8,0.91597,253.577,0.744949
284.7,1.96914,253.43,0.743164
284.6,0.451378,253.245,0.740909
284.5,1.36376,253.386,0.742626
284.4,0.959393,253.76,0.747169
284.3,1.26593,253.488,0.743865
284.2,1.11156,253.238,0.740826
284.1,1.28547,253.499,0.744
284,0.248359,253.402,0.742824
283.9,1.75444,253.017,0.738126
283.8,1.97172,253.514,0.744182
283.7,1.26482,253.25,0.740967
283.6,0.588243,253.185,0.740175
283.5,2.32525,253.662,0.745984
283.4,1.05906,253.235,0.740788
283.3,0.736588,253.167,0.739963
283.2,1.88603,253.062,0.738678
283.1,0.00410478,253.274,0.741267
283,0.663655,253.288,0.741438
282.9,2.29097,253.113,0.739299
282.8,2.37826,252.853,0.736128
282.7,1.58749,253.564,0.74479
282.6,1.44988,253.37,0.742429
282.5,0.979665,253.249,0.740955
282.4,1.90635,253.032,0.738312
282.3,1.25992,253.255,0.741033
282.2,1.60189,252.901,0.736722
282.1,1.51588,253.232,0.740752
282,0.544583,253.167,0.739955
281.9,1.07413,253.235,0.740788
281.8,1.72541,253.117,0.739351
281.7,2.16692,253.324,0.741867
281.6,1.26373,253.552,0.744651
281.5,1.99491,253.213,0.740515
281.4,1.5676,253.009,0.738039
281.3,1.82889,253.069,0.738766
281.2,0.749859,252.88,0.73646
281.1,0.753114,253.038,0.738384
281,0.807567,253.152,0.739781
280.9,0.577496,253.407,0.742876
280.8,0.910482,252.957,0.737396
280.7,1.13494,252.922,0.736971
280.6,1.35286,253.066,0.738735
280.5,0.827179,252.779,0.735228
280.4,1.32124,252.987,0.737767
280.3,1.72885,252.831,0.735862
280.2,0.00264724,252.813,0.735641
280.1,0.659154,253.217,0.740569
280,0.522532,252.873,0.736372
279.9,1.35068,252.979,0.737672
