TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:41:05,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,2.2638,,
MAXY,13.31895,,
MINY,-4.41763,,
XYDATA,,,
290,2.2638,253.323,0.741864
289.9,1.63033,253.07,0.738783
289.8,1.41795,253.465,0.743586
289.7,0.393942,253.123,0.739418
289.6,1.58773,253.165,0.739939
289.5,1.33837,253.576,0.74494
289.4,2.07015,253.345,0.742124
289.3,1.59209,253.342,0.742086
289.2,1.14042,253.068,0.73875
289.1,1.1745,253.869,0.748495
289,1.49552,252.871,0.736353
288.9,2.18195,253.466,0.743605
288.8,0.458688,253.142,0.739651
288.7,1.82335,253.362,0.742333
288.6,1.63591,253.163,0.739905
288.5,1.85904,253.383,0.742595
288.4,2.35634,253.259,0.741078
288.3,1.4824,252.817,0.735695
288.2,1.3996,252.934,0.737118
288.1,1.64536,252.604,0.733093
288,1.26752,253.034,0.73834
287.9,1.38738,252.915,0.736888
287.8,2.14197,253.106,0.739213
287.7,1.31692,253.081,0.738913
287.6,1.29245,253.114,0.739315
287.5,1.67785,253.086,0.738975
287.4,1.40359,253.041,0.738423
287.3,0.872253,253.087,0.738989
287.2,1.80642,252.828,0.735833
287.1,1.63791,253.055,0.738592
287,1.50631,252.411,0.730735
286.9,2.15199,252.928,0.737043
286.8,1.452,253.119,0.73938
286.7,2.04618,253.018,0.738145
286.6,1.48246,253.022,0.738195
286.5,1.35335,252.808,0.735584
286.4,1.21313,252.614,0.733212
286.3,0.136017,253.069,0.738771
286.2,1.24367,252.789,0.735358
286.1,0.647975,252.666,0.733853
286,0.783679,252.738,0.734729
285.9,2.16945,253.028,0.738264
285.8,1.67215,252.831,0.735869
285.7,0.618411,252.845,0.736035
285.6,1.20313,252.918,0.736929
285.5,1.30805,253.451,0.743412
285.4,2.15295,252.794,0.73541
285.3,1.05274,252.735,0.734693
285.2,2.74299,252.724,0.734562
285.1,2.14379,253.04,0.738409
285,0.636364,252.637,0.733501
284.9,1.5856,252.87,0.736342
284.8,1.48971,252.992,0.737827
284.7,1.58071,253.044,0.738464
284.6,0.811535,252.388,0.730458
284.5,2.21211,252.835,0.735919
284.4,1.31717,252.914,0.736871
284.3,1.52395,252.613,0.733203
284.2,1.62242,252.639,0.733527
284.1,0.752979,252.715,0.734444
284,1.58504,252.457,0.731304
283.9,1.05119,252.452,0.731241
283.8,2.47319,252.788,0.735346
283.7,1.64569,253.047,0.738493
283.6,2.00572,252.8,0.735489
283.5,0.872685,252.298,0.729361
283.4,0.861204,252.47,0.731456
283.3,1.10823,252.679,0.734005
283.2,1.20606,252.866,0.736285
283.1,-0.192562,252.699,0.734249
283,0.0795898,252.45,0.73122
282.9,1.02042,252.545,0.73237
282.8,0.816081,252.573,0.732723
282.7,1.79813,252.469,0.731451
282.6,1.90416,252.504,0.731876
282.5,2.19349,252.643,0.73357
282.4,0.458543,252.463,0.73138
282.3,1.17408,252.715,0.734447
282.2,1.09791,252.725,0.734574
282.1,1.62822,252.27,0.729014
282,1.70214,252.428,0.730947
281.9,1.70321,252.598,0.733027
281.8,1.37773,252.839,0.735959
281.7,2.15804,252.294,0.729313
281.6,0.668391,252.242,0.728678
281.5,2.10299,252.4,0.730607
281.4,1.53829,252.624,0.733342
281.3,2.13823,251.954,0.725152
281.2,1.58936,252.232,0.728553
281.1,0.902657,252.211,0.728302
281,0.933672,252.341,0.729882
280.9,1.57692,252.292,0.729289
280.8,-0.0484485,252.471,0.731478
280.7,2.23823,252.121,0.727198
280.6,1.33016,252.151,0.727565
280.5,1.13345,252.31,0.729505
280.4,0.414227,252.303,0.729424
280.3,1.12941,252.091,0.726824
280.2,1.00526,252.209,0.728273
280.1,2.57179,252.342,0.729903
280,0.222419,252.474,0.731514
279.9,2.61182,252.311,0.729522
