TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:43:57,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,0.91337,,
MAXY,14.06129,,
MINY,-4.54784,,
XYDATA,,,
290,0.913369,253.226,0.740674
289.9,1.56009,253.407,0.742878
289.8,1.39452,253.153,0.739784
289.7,1.36896,253.31,0.741699
289.6,1.73141,253.221,0.740619
289.5,1.49408,252.91,0.736833
289.4,1.14916,253.258,0.741069
289.3,1.30131,253.209,0.740471
289.2,0.931092,252.978,0.737658
289.1,1.62769,253.272,0.741233
289,1.32655,253.296,0.741529
288.9,1.61354,253.361,0.742319
288.8,0.43453,252.975,0.737616
288.7,2.12325,253.157,0.739843
288.6,0.927936,252.818,0.735702
288.5,2.90875,253.592,0.745126
288.4,1.76947,253.127,0.739475
288.3,2.36653,253.171,0.740012
288.2,2.06371,253.14,0.739627
288.1,1.18325,253.401,0.742814
288,1.18822,252.817,0.735696
287.9,0.789634,252.917,0.736914
287.8,1.01194,252.92,0.736947
287.7,2.43095,252.958,0.737408
287.6,1.77148,253.114,0.739313
287.5,1.16176,252.9,0.736708
287.4,1.5812,252.893,0.736624
287.3,1.46327,252.927,0.73704
287.2,1.40336,252.808,0.735582
287.1,1.09028,253.047,0.738497
287,0.741262,252.743,0.734797
286.9,1.49151,253.045,0.738469
286.8,0.729292,253.006,0.738001
286.7,0.486225,252.623,0.733328
286.6,1.85179,252.847,0.736064
286.5,1.71834,252.673,0.733934
286.4,1.00826,252.952,0.737335
286.3,1.17087,252.791,0.73538
286.2,0.606527,252.889,0.736575
286.1,0.870191,252.908,0.736802
286,1.53558,252.892,0.736605
285.9,0.583555,252.933,0.737109
285.8,2.23985,252.82,0.735733
285.7,2.21401,252.683,0.734054
285.6,1.56385,252.812,0.735638
285.5,1.59638,253.026,0.738238
285.4,1.95929,252.686,0.734097
285.3,1.71886,252.988,0.737784
285.2,0.332379,252.948,0.737292
285.1,1.60914,252.595,0.732986
285,1.09081,252.801,0.735501
284.9,1.69928,252.795,0.73542
284.8,2.04487,252.669,0.733893
284.7,2.25623,252.848,0.736071
284.6,2.2955,252.908,0.736809
284.5,1.12037,252.972,0.737587
284.4,1.70711,252.699,0.734257
284.3,0.634662,252.469,0.731444
284.2,0.679434,252.721,0.734529
284.1,1.6193,252.487,0.731672
284,1.19193,252.785,0.735304
283.9,0.745439,252.933,0.737112
283.8,1.194,252.673,0.733938
283.7,1.69294,252.428,0.730951
283.6,1.87871,252.773,0.735158
283.5,0.661888,252.584,0.732854
283.4,0.799557,252.468,0.731439
283.3,1.61664,252.64,0.73353
283.2,1.96701,252.673,0.733934
283.1,2.29003,252.855,0.736156
283,0.555719,252.839,0.735968
282.9,1.2261,252.779,0.735235
282.8,1.57765,252.329,0.729738
282.7,2.15977,252.486,0.731653
282.6,1.47443,252.538,0.732286
282.5,0.526806,252.702,0.734297
282.4,0.647303,252.436,0.731042
282.3,2.12903,252.8,0.73548
282.2,1.8224,252.603,0.733082
282.1,0.326094,252.515,0.732009
282,1.98627,252.408,0.7307
281.9,0.843,252.492,0.731729
281.8,1.81021,252.391,0.730498
281.7,1.45373,252.207,0.728252
281.6,1.46037,252.532,0.732218
281.5,1.46295,252.455,0.731281
281.4,1.97505,252.355,0.730055
281.3,1.13491,252.488,0.731679
281.2,0.5215,252.311,0.729514
281.1,1.22093,252.244,0.728697
281,0.727819,252.431,0.730982
280.9,1.68723,252.1,0.726938
280.8,0.496512,252.56,0.73256
280.7,1.26921,252.205,0.728226
280.6,1.03606,251.953,0.725148
280.5,1.9178,252.124,0.727234
280.4,2.00752,252.339,0.729861
280.3,2.00475,252.408,0.7307
280.2,1.21263,252.405,0.730669
280.1,0.853305,252.313,0.729545
280,1.7455,252.709,0.734378
279.9,1.47269,252.273,0.729048
