TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:46:45,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,0.88111,,
MAXY,13.67002,,
MINY,-4.06681,,
XYDATA,,,
290,0.881113,253.44,0.743283
289.9,1.46469,253.426,0.743112
289.8,1.46925,253.282,0.74136
289.7,1.33711,253.248,0.740947
289.6,1.68615,253.165,0.739939
289.5,1.89666,253.247,0.740931
289.4,1.76276,252.973,0.737594
289.3,1.49899,253.526,0.744324
289.2,0.921569,253.465,0.743586
289.1,1.32606,253.369,0.742417
289,1.72369,253.489,0.743879
288.9,2.11673,253.484,0.743822
288.8,-0.0858686,253.106,0.73922
288.7,0.841302,252.937,0.737152
288.6,1.82826,253.41,0.742916
288.5,1.24727,253.199,0.740346
288.4,1.39526,253.54,0.744503
288.3,1.43056,253.329,0.741936
288.2,1.78807,253.209,0.740467
288.1,1.70283,252.982,0.737701
288,1.81649,252.993,0.737844
287.9,1.41116,253.08,0.738897
287.8,1.57466,253.071,0.738792
287.7,2.11178,252.963,0.737472
287.6,1.75764,253.179,0.740105
287.5,1.0783,252.759,0.734985
287.4,1.96245,253.072,0.738807
287.3,1.90568,253.29,0.741459
287.2,0.652369,253.055,0.7386
287.1,0.924993,252.883,0.736496
287,0.961469,252.702,0.734297
286.9,0.624469,252.928,0.737045
286.8,1.41755,252.663,0.733815
286.7,2.02298,252.985,0.737746
286.6,1.99025,252.913,0.736865
286.5,1.16666,253.022,0.738198
286.4,1.22669,252.94,0.737193
286.3,1.57716,252.728,0.734605
286.2,0.801643,252.714,0.734432
286.1,2.21142,252.719,0.734499
286,1.25725,252.604,0.733096
285.9,1.87061,253.094,0.739073
285.8,1.4051,253.009,0.738034
285.7,1.62671,252.629,0.733395
285.6,1.65622,252.866,0.736291
285.5,1.33248,252.91,0.736822
285.4,1.18325,252.801,0.735503
285.3,1.75064,252.676,0.733977
285.2,1.16344,252.983,0.73772
285.1,2.43701,252.783,0.735279
285,1.13132,253.129,0.739499
284.9,0.86867,252.812,0.735631
284.8,1.85486,252.95,0.737316
284.7,1.82241,252.704,0.734321
284.6,1.98703,252.696,0.734216
284.5,1.38036,252.612,0.73319
284.4,1.95049,252.536,0.732261
284.3,-0.218894,252.682,0.734048
284.2,0.275029,252.648,0.73363
284.1,1.08439,252.554,0.732486
284,1.35041,252.771,0.735133
283.9,1.0164,252.911,0.736836
283.8,0.828602,252.997,0.737886
283.7,0.856975,252.8,0.735484
283.6,0.630227,252.5,0.731831
283.5,1.04826,252.674,0.733955
283.4,2.33293,252.559,0.732545
283.3,1.33566,252.713,0.734425
283.2,0.721468,252.817,0.735696
283.1,1.47918,252.487,0.73167
283,2.43638,252.339,0.729856
282.9,2.34359,252.41,0.73073
282.8,0.726845,252.538,0.732286
282.7,1.8459,252.777,0.735202
282.6,1.46473,252.585,0.732858
282.5,1.85359,252.824,0.735783
282.4,1.83682,252.588,0.732899
282.3,0.705626,252.622,0.733314
282.2,1.89135,252.349,0.729982
282.1,1.6754,252.451,0.731226
282,0.366048,252.734,0.734679
281.9,0.815312,252.691,0.734157
281.8,1.08837,252.426,0.73092
281.7,0.956896,252.166,0.727745
281.6,1.19041,252.134,0.727359
281.5,2.22307,252.954,0.737366
281.4,1.07363,252.47,0.731464
281.3,1.81393,252.715,0.734447
281.2,1.02615,252.229,0.728517
281.1,1.47911,252.446,0.731169
281,0.818256,252.138,0.727401
280.9,0.303995,251.85,0.72388
280.8,1.41279,252.483,0.731615
280.7,1.37886,252.248,0.72875
280.6,1.16229,252.264,0.728943
280.5,1.75187,252.368,0.730209
280.4,1.79033,252.206,0.728231
280.3,0.627001,252.707,0.734354
280.2,1.00423,252.105,0.727001
280.1,0.649017,251.971,0.725357
280,1.26213,252.686,0.734102
279.9,1.12502,251.97,0.725349
