TITLE,KMGM_Additive&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:27:31,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.43344,,
MAXY,54.05992,,
MINY,-64.3879,,
XYDATA,,,
320,1.299203667,208.107,0.1457046667
319.9,0.6658263333,208.965,0.1580003333
319.8,1.810516667,208.473,0.1509703333
319.7,1.241895,208.3346667,0.1489876667
319.6,2.173026667,208.6473333,0.153464
319.5,1.364981,209.084,0.1596586667
319.4,1.860635,208.3203333,0.1487806667
319.3,1.880087333,208.8886667,0.156897
319.2,0.6834186667,208.0503333,0.1449236667
319.1,0.4617466667,208.437,0.150451
319,1.866236667,208.034,0.1446916667
318.9,0.7958346667,208.341,0.149085
318.8,1.280783333,208.3996667,0.149917
318.7,1.635313333,207.9493333,0.143475
318.6,0.206244,208.558,0.1521803333
318.5,2.481283333,208.213,0.147253
318.4,2.319643333,208.1466667,0.1463066667
318.3,1.050237367,208.5816667,0.152523
318.2,0.7687322333,208.2086667,0.147192
318.1,2.040326667,208.609,0.152913
318,2.262956667,208.6303333,0.1532116667
317.9,1.472930333,208.8653333,0.1565703333
317.8,1.835180667,208.5526667,0.152109
317.7,1.993496667,207.247,0.133381
317.6,1.018174,208.149,0.1463363333
317.5,1.837486667,208.2103333,0.147221
317.4,2.04734,208.116,0.1458683333
317.3,1.87139,208.064,0.1451163333
317.2,0.9327763333,208.473,0.1509756667
317.1,1.858563333,208.3546667,0.149285
317,1.133944333,208.7036667,0.1542573333
316.9,2.210023333,208.497,0.151313
316.8,1.68706,208.653,0.1535436667
316.7,0.6712515333,207.9056667,0.1428543333
316.6,1.270801333,208.5576667,0.152182
316.5,1.139760667,208.043,0.1448163333
316.4,1.597816667,208.166,0.146578
316.3,1.187638333,208.0003333,0.1442076667
316.2,1.567828,207.8013333,0.1413526667
316.1,1.133898,208.663,0.153691
316,1.516732333,208.1986667,0.1470473333
315.9,2.072933,208.128,0.1460426667
315.8,1.121522,208.5253333,0.1517176667
315.7,0.9353986667,208.798,0.1556096667
315.6,1.957433333,208.3973333,0.149883
315.5,1.506963667,208.394,0.1498456667
315.4,1.293409,207.7523333,0.1406443333
315.3,1.41745,208.1203333,0.1459266667
315.2,0.5181423333,208.2656667,0.1480103333
315.1,1.65396,208.4453333,0.1505793333
315,1.611226667,207.8586667,0.1421713333
314.9,1.120953,208.4806667,0.1510836667
314.8,0.924134,208.0943333,0.1455556667
314.7,1.136893333,207.5856667,0.138255
314.6,2.068393333,208.1843333,0.1468423333
314.5,1.709791667,207.934,0.1432586667
314.4,0.782755,208.384,0.1496893333
314.3,2.270133333,208.1546667,0.1464146667
314.2,1.074797,208.0223333,0.144523
314.1,1.338481667,208.393,0.1498273333
314,2.484273333,207.724,0.1402453333
313.9,1.772804667,207.183,0.1324753333
313.8,0.649551,207.8596667,0.1421953333
313.7,1.199581333,207.4303333,0.1360133333
313.6,1.312875667,207.674,0.1395363333
313.5,2.59338,208.06,0.1450626667
313.4,0.9235,208.5246667,0.151701
313.3,1.827563133,207.239,0.1332693333
313.2,2.242863333,207.941,0.1433543333
313.1,1.141230333,207.7676667,0.1408713333
313,1.023466,207.792,0.141226
312.9,0.3107254333,207.5696667,0.1380346667
312.8,0.8937496667,207.8363333,0.1418553333
312.7,1.934616667,208.561,0.1521983333
312.6,2.164516667,207.798,0.141311
312.5,1.507272667,207.5,0.1370293333
312.4,1.545356667,207.5013333,0.137054
312.3,1.110174667,207.6563333,0.1392666667
312.2,1.238182,207.7956667,0.141273
312.1,0.2419764,207.8256667,0.1417073333
312,1.258754333,208.2366667,0.147591
311.9,1.069654,206.7806667,0.1266736667
311.8,1.651398667,207.493,0.1369233333
311.7,1.66413319,207.2856667,0.133945
311.6,-0.08002166667,207.4666667,0.1365553333
