TITLE,KMGM_BUFFER&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:18:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.27862,,
MAXY,49.95761,,
MINY,-56.57431,,
XYDATA,,,
320,1.031673333,208.5396667,0.151928
319.9,1.131210667,208.333,0.1489703333
319.8,2.480633333,208.6393333,0.153347
319.7,1.330963667,208.1946667,0.1469826667
319.6,1.284054,208.3746667,0.1495666667
319.5,1.088181333,208.34,0.149074
319.4,1.535578667,208.3336667,0.148975
319.3,0.911373,208.3296667,0.1489236667
319.2,1.0139314,208.1763333,0.1467326667
319.1,2.476366667,208.3563333,0.149307
319,1.170685667,208.311,0.148654
318.9,2.180376667,208.1306667,0.1460746667
318.8,0.9117166667,208.309,0.14862
318.7,1.656856667,208.3496667,0.149209
318.6,1.438208,207.9536667,0.1435363333
318.5,1.677475333,208.652,0.153535
318.4,1.461003333,208.4686667,0.1509103333
318.3,1.980813333,208.3093333,0.1486373333
318.2,2.320863333,208.4793333,0.1510626667
318.1,1.472183333,208.1533333,0.1464046667
318,2.2794,208.0283333,0.144608
317.9,1.79726,208.373,0.1495366667
317.8,2.07659,207.7426667,0.1405133333
317.7,1.526927,208.193,0.1469683333
317.6,1.896456667,208.1766667,0.1467323333
317.5,1.086286667,207.386,0.1353976667
317.4,1.435466667,207.849,0.1420403333
317.3,2.028266667,207.6366667,0.138995
317.2,1.32933,208.337,0.1490263333
317.1,1.321613667,208.26,0.1479103333
317,1.510458,207.8296667,0.1417513333
316.9,1.2808816,207.4076667,0.1357013333
316.8,1.214930333,208.1243333,0.145983
316.7,1.402043333,208.047,0.1448733333
316.6,1.711997,208.1866667,0.146878
316.5,2.404746667,207.9456667,0.1434223333
316.4,1.460977,207.9786667,0.1438843333
316.3,2.119594333,208.126,0.14601
316.2,1.942666667,208.0876667,0.145456
316.1,1.273456,208.3003333,0.1484943333
316,1.437751333,208.173,0.1466806667
315.9,2.031413333,207.7936667,0.141246
315.8,2.46409,208.06,0.1450616667
315.7,1.688480333,208.687,0.1540356667
315.6,1.610456333,208.4193333,0.150203
315.5,1.813096667,208.3186667,0.1487663333
315.4,2.227393333,208.007,0.144304
315.3,1.0863,207.882,0.142515
315.2,1.193016667,208.0276667,0.144597
315.1,2.344383333,207.6323333,0.1389296667
315,1.79286,208.3773333,0.149602
314.9,1.430272333,208.1863333,0.1468736667
314.8,0.189037,207.8696667,0.1423246667
314.7,1.025275,208.029,0.1446146667
314.6,2.194193333,207.8543333,0.142096
314.5,0.9284383333,207.4166667,0.1358336667
314.4,1.056138667,207.9533333,0.1435353333
314.3,0.7124346667,207.777,0.1409656667
314.2,1.664063333,208.166,0.1465826667
314.1,1.240247333,208.1196667,0.145914
314,1.785242333,207.4963333,0.1369813333
313.9,1.492496667,207.9016667,0.1427933333
313.8,1.770012667,207.759,0.1407483333
313.7,2.071196667,207.7213333,0.1402076667
313.6,1.746866667,207.0793333,0.130986
313.5,1.406368,207.4106667,0.1357556667
313.4,1.563989,208.0126667,0.1443813333
313.3,1.863966667,207.4246667,0.1359526667
313.2,1.437446333,207.6466667,0.1391363333
313.1,2.072873333,207.3463333,0.134831
313,1.379975,207.0356667,0.130366
312.9,2.410153333,207.2426667,0.1333386667
312.8,1.582269667,206.9926667,0.129733
312.7,2.50558,207.96,0.143625
312.6,1.7226,207.5976667,0.1384343333
312.5,0.778648,207.123,0.1316176667
312.4,1.782159333,207.8726667,0.1423766667
312.3,1.614451667,207.6853333,0.1396976667
312.2,2.2533,207.03,0.13028
312.1,1.628341667,207.3953333,0.1355183333
312,0.8845063333,207.1513333,0.1320213333
311.9,1.53079,207.9916667,0.1440863333
311.8,1.81005,207.333,0.134635
311.7,0.62897,207.623,0.1387976667
