TITLE,KMGM_BUFFER_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:01:07,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.54704,,
MAXY,6.02539,,
MINY,-5.83343,,
XYDATA,,,
320,1.628826667,208.41,0.150074
319.9,1.616463333,208.6773333,0.1538936667
319.8,1.45534,208.9643333,0.1579943333
319.7,1.739476667,208.3123333,0.1486796667
319.6,0.3439680667,208.1943333,0.1469866667
319.5,2.05959,208.455,0.150713
319.4,2.159523333,207.617,0.1386916667
319.3,1.969678,208.203,0.1471116667
319.2,2.071376667,208.5753333,0.1524323333
319.1,1.426519,208.2656667,0.1480096667
319,2.01083,208.729,0.1546326667
318.9,2.16328,208.16,0.146497
318.8,0.8460006667,208.629,0.1531976667
318.7,0.6717896667,208.2796667,0.1482156667
318.6,2.279353333,208.2036667,0.147121
318.5,1.00102188,208.0093333,0.1443173333
318.4,1.780651667,208.4983333,0.1513336667
318.3,1.179973333,208.4143333,0.1501333333
318.2,-0.759307,208.3843333,0.1497073333
318.1,1.459083333,208.1286667,0.1460533333
318,1.408332267,208.1773333,0.1467363333
317.9,0.4599076667,208.399,0.1499166667
317.8,1.943616667,207.8046667,0.1414023333
317.7,1.993963333,208.2816667,0.1482366667
317.6,1.267912333,208.27,0.1480716667
317.5,1.988803667,208.2476667,0.1477496667
317.4,1.443106667,208.482,0.1511013333
317.3,0.1283483333,208.4123333,0.1501066667
317.2,1.822196667,208.2516667,0.1478106667
317.1,1.152579567,207.9976667,0.14417
317,0.6045703333,208.015,0.1444096667
316.9,1.58926,208.204,0.1471246667
316.8,1.007061,208.0583333,0.1450403333
316.7,1.945112667,208.1346667,0.1461353333
316.6,1.145576667,207.873,0.1423846667
316.5,1.937593333,208.1833333,0.1468253333
316.4,1.576909,208.0043333,0.144261
316.3,0.9505783333,208.187,0.1468846667
316.2,1.143366667,207.833,0.141797
316.1,-0.05671533333,208.177,0.146739
316,0.4733533333,207.909,0.1429
315.9,1.527723333,207.829,0.141757
315.8,1.326902,208.0556667,0.1449936667
315.7,1.167238667,208.0893333,0.1454813333
315.6,1.545721333,207.475,0.136679
315.5,1.242033667,207.874,0.1423983333
315.4,1.466075667,207.9623333,0.1436663333
315.3,1.917755,208.5543333,0.1521313333
315.2,0.5019985,207.7736667,0.1409576667
315.1,1.209138667,207.816,0.1415656667
315,1.284608667,207.9416667,0.1433673333
314.9,1.997265667,207.9043333,0.142839
314.8,1.661048333,208.1023333,0.1456693333
314.7,1.646791333,207.9763333,0.1438533333
314.6,0.9615343333,207.7673333,0.140867
314.5,1.483840667,207.813,0.1415243333
314.4,1.68132,208.093,0.1455376667
314.3,1.562428667,207.4486667,0.136295
314.2,1.278469333,207.5736667,0.138087
314.1,1.181272667,208.055,0.1449913333
314,1.276754333,208.029,0.1446193333
313.9,0.995885,207.783,0.14109
313.8,1.022856667,207.7536667,0.1406736667
313.7,1.455381,207.6196667,0.1387503333
313.6,1.63089,207.6563333,0.1392816667
313.5,1.836226,207.5096667,0.1371716667
313.4,1.98199,208.3503333,0.1492166667
313.3,2.218253333,207.961,0.143644
313.2,1.500711667,207.9723333,0.1437996667
313.1,2.049748,207.7036667,0.1399576667
313,1.348337667,207.2376667,0.1332606667
312.9,1.175615667,207.2853333,0.1339553333
312.8,0.834782,207.631,0.1389156667
312.7,1.439403333,207.4243333,0.135946
312.6,0.7580776333,207.2943333,0.134082
312.5,0.7640783333,207.673,0.1395203333
312.4,0.9671333333,207.6706667,0.1394716667
312.3,1.716906667,207.8973333,0.1427263333
312.2,0.5417246667,208.0243333,0.144554
312.1,1.560826,207.371,0.1351836667
312,2.10721,207.4733333,0.1366533333
311.9,2.035124333,207.7063333,0.1399783333
311.8,0.6973866667,207.398,0.135568
311.7,1.894083333,207.7533333,0.1406646667
