TITLE,KMGM_BUFFER&PROTEIN_928_Averages
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/28
TIME,15:18:43
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,1.27862
MAXY,49.95761
MINY,-56.57431
XYDATA,
320,-0.597153334
319.9,-0.485252666
319.8,1.025293333
319.7,-0.408513
319.6,0.9400859333
319.5,-0.971408667
319.4,-0.623944666
319.3,-1.058305
319.2,-1.057445267
319.1,1.049847667
319,-0.840144333
318.9,0.017096667
318.8,0.065716
318.7,0.9850670003
318.6,-0.841145333
318.5,0.676453453
318.4,-0.319648334
318.3,0.80084
318.2,3.080170333
318.1,0.0131
318,0.871067733
317.9,1.337352333
317.8,0.132973333
317.7,-0.467036333
317.6,0.628544334
317.5,-0.902517
317.4,-0.00764
317.3,1.899918334
317.2,-0.492866667
317.1,0.1690341
317,0.9058876667
316.9,-0.3083784
316.8,0.207869333
316.7,-0.543069334
316.6,0.566420333
316.5,0.467153334
316.4,-0.115932
316.3,1.169016
316.2,0.7993
316.1,1.330171333
316,0.9643979997
315.9,0.50369
315.8,1.137188
315.7,0.521241666
315.6,0.064735
315.5,0.571063
315.4,0.761317666
315.3,-0.831455
315.2,0.691018167
315.1,1.135244666
315,0.508251333
314.9,-0.566993334
314.8,-1.472011333
314.7,-0.621516333
314.6,1.232659
314.5,-0.5554023337
314.4,-0.625181333
314.3,-0.8499940003
314.2,0.385594
314.1,0.058974666
314,0.508488
313.9,0.496611667
313.8,0.747156
313.7,0.615815667
313.6,0.115976667
313.5,-0.429858
313.4,-0.418001
313.3,-0.354286666
313.2,-0.063265334
313.1,0.023125333
313,0.031637333
312.9,1.234537666
312.8,0.747487667
312.7,1.066176667
312.6,0.9645223667
312.5,0.0145696667
312.4,0.8150259997
312.3,-0.102455
312.2,1.711575333
312.1,0.067515667
312,-1.222703667
311.9,-0.504334333
311.8,1.112663333
311.7,-1.265113333
311.6,0.00184
311.5,0.563964667
311.4,0.304269333
311.3,0.0291543337
311.2,1.90709
311.1,0.3982873333
311,0.870126667
310.9,0.570196
310.8,0.572855334
310.7,0.047417
310.6,-1.749966333
310.5,-0.530246333
310.4,-0.081015334
310.3,0.3136153333
310.2,0.003313666
310.1,0.095744167
310,-0.476109333
309.9,0.6139084
309.8,1.104592933
309.7,-0.715252
309.6,0.186827334
309.5,0.628803333
309.4,0.8992153337
309.3,0.411011333
309.2,-0.574420333
309.1,1.272191667
309,1.368690667
308.9,1.052759667
308.8,1.119155
308.7,-1.060151667
308.6,-1.066201734
308.5,1.325343533
308.4,0.071950667
308.3,0.232305767
308.2,0.745861
308.1,0.713373666
308,0.732169
307.9,1.699411833
307.8,0.22121
307.7,0.203326667
307.6,0.661497667
307.5,0.656547334
307.4,-0.909541
307.3,-0.76711
307.2,0.155422
307.1,1.157913666
307,0.28086
306.9,0.7420990003
306.8,0.09895366667
306.7,0.201449
306.6,1.265636
306.5,1.776672334
306.4,0.205066333
306.3,-0.036971667
306.2,-0.27117
306.1,0.069365
306,-0.6388206
305.9,-1.682584333
305.8,0.596020667
305.7,1.046739667
305.6,1.271716667
305.5,-1.177026334
305.4,1.680733
305.3,0.496978333
305.2,0.115731667
305.1,-0.007667
305,0.193525667
304.9,0.089362
304.8,-0.8830433337
304.7,0.463887
304.6,0.166070667
304.5,-0.6093456663
304.4,-0.242355334
304.3,0.594119
304.2,1.991178
304.1,0.566576333
304,-2.115653967
303.9,1.334017
303.8,-0.898374
303.7,1.069818
303.6,-0.2628803333
303.5,-1.396144
303.4,1.134082666
303.3,-1.033164333
303.2,-1.530394667
303.1,0.6111862663
303,0.50361
302.9,0.113676334
302.8,-0.4706256663
302.7,1.3627941
302.6,-0.8993416667
302.5,0.938939
302.4,0.3903326667
302.3,1.465551667
302.2,1.228991633
302.1,1.04363
302,-0.42675
301.9,0.378473333
301.8,0.6048952663
301.7,0.4138136663
