TITLE,KMGM_BUFFER&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:18:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.27862,,
MAXY,49.95761,,
MINY,-56.57431,,
XYDATA,,,
320,-0.597153334,208.5396667,0.151928
319.9,-0.485252666,208.333,0.1489703333
319.8,1.025293333,208.6393333,0.153347
319.7,-0.408513,208.1946667,0.1469826667
319.6,0.9400859333,208.3746667,0.1495666667
319.5,-0.971408667,208.34,0.149074
319.4,-0.623944666,208.3336667,0.148975
319.3,-1.058305,208.3296667,0.1489236667
319.2,-1.057445267,208.1763333,0.1467326667
319.1,1.049847667,208.3563333,0.149307
319,-0.840144333,208.311,0.148654
318.9,0.017096667,208.1306667,0.1460746667
318.8,0.065716,208.309,0.14862
318.7,0.9850670003,208.3496667,0.149209
318.6,-0.841145333,207.9536667,0.1435363333
318.5,0.676453453,208.652,0.153535
318.4,-0.319648334,208.4686667,0.1509103333
318.3,0.80084,208.3093333,0.1486373333
318.2,3.080170333,208.4793333,0.1510626667
318.1,0.0131,208.1533333,0.1464046667
318,0.871067733,208.0283333,0.144608
317.9,1.337352333,208.373,0.1495366667
317.8,0.132973333,207.7426667,0.1405133333
317.7,-0.467036333,208.193,0.1469683333
317.6,0.628544334,208.1766667,0.1467323333
317.5,-0.902517,207.386,0.1353976667
317.4,-0.00764,207.849,0.1420403333
317.3,1.899918334,207.6366667,0.138995
317.2,-0.492866667,208.337,0.1490263333
317.1,0.1690341,208.26,0.1479103333
317,0.9058876667,207.8296667,0.1417513333
316.9,-0.3083784,207.4076667,0.1357013333
316.8,0.207869333,208.1243333,0.145983
316.7,-0.543069334,208.047,0.1448733333
316.6,0.566420333,208.1866667,0.146878
316.5,0.467153334,207.9456667,0.1434223333
316.4,-0.115932,207.9786667,0.1438843333
316.3,1.169016,208.126,0.14601
316.2,0.7993,208.0876667,0.145456
316.1,1.330171333,208.3003333,0.1484943333
316,0.9643979997,208.173,0.1466806667
315.9,0.50369,207.7936667,0.141246
315.8,1.137188,208.06,0.1450616667
315.7,0.521241666,208.687,0.1540356667
315.6,0.064735,208.4193333,0.150203
315.5,0.571063,208.3186667,0.1487663333
315.4,0.761317666,208.007,0.144304
315.3,-0.831455,207.882,0.142515
315.2,0.691018167,208.0276667,0.144597
315.1,1.135244666,207.6323333,0.1389296667
315,0.508251333,208.3773333,0.149602
314.9,-0.566993334,208.1863333,0.1468736667
314.8,-1.472011333,207.8696667,0.1423246667
314.7,-0.621516333,208.029,0.1446146667
314.6,1.232659,207.8543333,0.142096
314.5,-0.5554023337,207.4166667,0.1358336667
314.4,-0.625181333,207.9533333,0.1435353333
314.3,-0.8499940003,207.777,0.1409656667
314.2,0.385594,208.166,0.1465826667
314.1,0.058974666,208.1196667,0.145914
314,0.508488,207.4963333,0.1369813333
313.9,0.496611667,207.9016667,0.1427933333
313.8,0.747156,207.759,0.1407483333
313.7,0.615815667,207.7213333,0.1402076667
313.6,0.115976667,207.0793333,0.130986
313.5,-0.429858,207.4106667,0.1357556667
313.4,-0.418001,208.0126667,0.1443813333
313.3,-0.354286666,207.4246667,0.1359526667
313.2,-0.063265334,207.6466667,0.1391363333
313.1,0.023125333,207.3463333,0.134831
313,0.031637333,207.0356667,0.130366
312.9,1.234537666,207.2426667,0.1333386667
312.8,0.747487667,206.9926667,0.129733
312.7,1.066176667,207.96,0.143625
312.6,0.9645223667,207.5976667,0.1384343333
312.5,0.0145696667,207.123,0.1316176667
312.4,0.8150259997,207.8726667,0.1423766667
312.3,-0.102455,207.6853333,0.1396976667
312.2,1.711575333,207.03,0.13028
312.1,0.067515667,207.3953333,0.1355183333
312,-1.222703667,207.1513333,0.1320213333
311.9,-0.504334333,207.9916667,0.1440863333
311.8,1.112663333,207.333,0.134635
