TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
320,198881.9848,139.9271863,0.1660243333
319.9,270574.7281,139.685671,0.1689746667
319.8,561180.152,139.7226817,0.1663503333
319.7,581226.7918,139.871423,0.168426
319.6,460311.727,139.696719,0.165964
319.5,479742.5123,139.8579537,0.16716
319.4,647542.8699,139.6997997,0.167243
319.3,542803.904,139.5102873,0.1639286667
319.2,465226.7918,139.6388103,0.166151
319.1,831886.4551,139.4007937,0.159482
319,605062.7328,139.5380113,0.1623363333
318.9,905762.1815,139.3171103,0.156846
318.8,209613.1724,139.6124017,0.166349
318.7,494785.0842,139.7560203,0.1626723333
318.6,500587.8409,139.4023113,0.1596713333
318.5,398513.6343,139.4351863,0.158091
318.4,151611.8313,139.4014167,0.1569973333
318.3,360971.9863,139.5113483,0.1616793333
318.2,712296.2301,139.7990683,0.164789
318.1,620320.8166,139.8094073,0.1668193333
318,350914.0218,139.503998,0.1624333333
317.9,956982.5659,139.8518537,0.1659896667
317.8,876513.6343,140.13156,0.169635
317.7,435446.2077,139.2485897,0.1571273333
317.6,348321.2636,139.3965423,0.161436
317.5,523910.2965,139.4631763,0.163821
317.4,466505.5878,139.3411073,0.1566046667
317.3,416942.0355,140.0869447,0.1656063333
317.2,624949.3369,139.6327533,0.164692
317.1,610895.2466,139.450393,0.158151
317,757527.3283,139.675674,0.161935
316.9,178200.4172,139.529404,0.1621536667
316.8,609481.4484,139.709413,0.1626156667
316.7,435582.3275,139.5865957,0.1644433333
316.6,539716.5847,139.432782,0.163563
316.5,518020.4142,139.665896,0.16656
316.4,672942.9295,138.9146103,0.1495383333
316.3,766407.3909,139.7504773,0.1619173333
316.2,540392.788,140.1070253,0.1692343333
316.1,507734.0188,139.7852617,0.164681
316,548608.4041,139.7398097,0.162163
315.9,611971.6883,139.3262213,0.1582383333
315.8,136725.2436,139.7283373,0.1632496667
315.7,-187059.7526,139.417599,0.1639936667
315.6,158538.6679,139.257748,0.1563506667
315.5,772496.3046,139.5664893,0.1639603333
315.4,509034.5701,139.5030813,0.1595033333
315.3,606181.5229,139.529439,0.157657
315.2,338819.401,138.9793203,0.153659
315.1,678044.7027,139.2408053,0.1563886667
315,493640.8881,139.248041,0.1552546667
314.9,325560.7212,139.3120353,0.159535
314.8,299460.1401,139.2197577,0.1575286667
314.7,586128.8929,139.404362,0.1555913333
314.6,109923.2603,139.2928763,0.1582373333
314.5,872001.1921,139.1768193,0.1557196667
314.4,-258437.3268,139.2582443,0.157208
314.3,484825.3613,139.617073,0.1618673333
314.2,412255.6996,139.2681043,0.156211
314.1,420516.7635,139.239319,0.1552116667
314,728833.8549,139.037907,0.15246
313.9,238648.4876,139.5288307,0.159401
313.8,555710.0283,139.1647977,0.1560693333
313.7,409514.9754,139.4415687,0.1590766667
313.6,913810.1624,139.4252303,0.15691
313.5,836385.0395,138.9559957,0.151118
313.4,834823.4242,139.111074,0.1550543333
313.3,197774.2512,138.9674663,0.1482786667
313.2,201529.4293,139.448632,0.154807
313.1,464835.941,139.2971137,0.1549203333
313,671447.1763,139.3781913,0.1602183333
312.9,481671.733,139.31468,0.15466
312.8,798922.6643,139.4041817,0.1565746667
312.7,292053.3453,138.8737887,0.1499423333
312.6,593789.4502,139.1591133,0.1537303333
312.5,334995.9768,139.04228,0.1540903333
312.4,574656.6831,139.077586,0.1515163333
312.3,592331.9923,139.010045,0.1523246667
312.2,413135.5983,138.939045,0.1483486667
312.1,579.4963493,138.7517833,0.148673
312,335101.7732,139.486594,0.1625593333
311.9,87078.37878,139.344539,0.1600783333
311.8,301267.4713,139.5336463,0.161077
