TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
320,126254.88,-70.34693317,-2.804824667
319.9,-244688.3177,-70.25543733,-2.801761667
319.8,-308708.0912,-69.62152367,-2.791229
319.7,61422.8878,-70.61776167,-2.805020333
319.6,-236886.1571,-70.18756533,-2.804601333
319.5,-714598.1523,-70.50121333,-2.803797
319.4,-58642.22918,-70.47228667,-2.801166333
319.3,-365199.0761,-69.39267167,-2.788832
319.2,-400715.5416,-69.53800567,-2.789642333
319.1,-81601.6689,-69.54414667,-2.787455
319,358887.1256,-69.819166,-2.79392
318.9,-215726.7173,-69.391752,-2.792414667
318.8,-148359.857,-69.80778533,-2.800356333
318.7,81424.82491,-69.490205,-2.790231667
318.6,147967.218,-68.9772231,-2.785382333
318.5,-459695.2764,-69.51338667,-2.796217667
318.4,-435448.3684,-69.72984967,-2.797707333
318.3,-205147.0188,-69.69484367,-2.791462
318.2,-409239.4576,-69.94356333,-2.788703333
318.1,-929131.724,-69.53638533,-2.796445333
318,-584845.0305,-70.10559333,-2.792892
317.9,-223697.2135,-68.29756,-2.678198333
317.8,-598838.8467,-69.26257833,-2.785401
317.7,5291.431977,-69.33827183,-2.790753667
317.6,216071.3605,-69.78519133,-2.794976667
317.5,-323927.1793,-70.13836333,-2.794250667
317.4,-475196.543,-69.591545,-2.789412333
317.3,-452573.2827,-70.08000333,-2.791794667
317.2,-745415.1393,-69.2369088,-2.788888667
317.1,41412.90419,-69.71201367,-2.792606
317,-929.5187006,-69.33918633,-2.793702667
316.9,-638002.8312,-69.83356,-2.801845667
316.8,-698553.2707,-69.28490133,-2.787753333
316.7,-69523.91596,-69.47130767,-2.794855333
316.6,-130310.833,-70.37248297,-2.804824
316.5,-243704.1425,-68.9198424,-2.784406667
316.4,221273.5807,-69.61649,-2.789055333
316.3,-411436.835,-69.13402467,-2.790438333
316.2,-102566.8306,-69.12040367,-2.784860333
316.1,-401861.2725,-69.56386767,-2.791025333
316,-194423.5583,-69.678945,-2.796037
315.9,-1085958.128,-69.24293333,-2.765754667
315.8,-550632.4989,-69.296876,-2.790458667
315.7,-423507.9571,-70.37954333,-2.797736333
315.6,-821186.917,-69.52905833,-2.789978667
315.5,-247245.8799,-69.52621267,-2.78858
315.4,-190226.4938,-69.70649767,-2.793556667
315.3,-449209.0747,-69.13869933,-2.790981333
315.2,-352772.1651,-68.8234679,-2.783174333
315.1,228594.3675,-68.672589,-2.777619667
315,7804.500075,-69.18929667,-2.784734333
314.9,-215082.3126,-70.39642033,-2.801401
314.8,-300248.2491,-69.471675,-2.788849333
314.7,225316.3463,-69.27955667,-2.784231333
314.6,-580276.1138,-69.871826,-2.794277333
314.5,-47811.07138,-69.55827733,-2.798296
314.4,-534218.7453,-69.42782333,-2.787752333
314.3,-113446.2822,-69.33693,-2.788922
314.2,-286263.7461,-69.69436467,-2.792086333
314.1,-781856.6533,-69.78450333,-2.790988333
314,-6762.479511,-68.65296867,-2.781481667
313.9,-80992.83266,-69.73485733,-2.791463
313.8,-585682.5063,-68.01395333,-2.729470333
313.7,-102683.9517,-68.36961667,-2.777553667
313.6,-25238.71256,-70.28110267,-2.799395333
313.5,-163476.9781,-68.7581523,-2.781941333
313.4,-9585.456713,-69.28366233,-2.790793333
313.3,385592.6091,-70.10597667,-2.802736
313.2,-807368.0525,-68.124641,-2.775557333
313.1,66593.19028,-69.34742186,-2.790592333
313,-536294.74,-70.54795,-2.801923667
312.9,-445149.7392,-69.467875,-2.791485667
312.8,488363.1352,-69.041913,-2.782294
312.7,-331607.3461,-68.99752,-2.779461667
312.6,-394184.0262,-69.35476467,-2.791254667
