TITLE,ECTC_PROTEIN&BUFFER_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:49:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [molar ellipticity],,
Y2UNITS,HT [V] (did not change),,
Y3UNITS,ABSORBANCE (did not change),,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.00528,,
MAXY,53.38551,,
MINY,-55.11642,,
XYDATA,,,
320,559437.9911,207.946,0.143435
319.9,395236.3095,208.24,0.147638
319.8,546580.506,208.261,0.147946
319.7,850108.631,208.708,0.154329
319.6,648777.8274,207.781,0.141064
319.5,721474.7024,208.342,0.149097
319.4,633414.1369,207.986,0.144003
319.3,737545.8333,207.416,0.135829
319.2,860214.2857,208.278,0.148189
319.1,681157.7381,208.482,0.151106
319,340029.628,207.708,0.140024
318.9,919421.131,207.987,0.14402
318.8,969300.5952,208.726,0.154588
318.7,444570.6845,208.554,0.152127
318.6,743895.8333,208.456,0.150734
318.5,493655.0595,208.336,0.149016
318.4,523414.6875,208.622,0.153098
318.3,339873.378,208.167,0.1466
318.2,463919.0476,208.185,0.146859
318.1,789036.0119,207.886,0.142574
318,399731.5476,208.38,0.149648
317.9,437907.5893,208.181,0.146794
317.8,464481.1012,207.958,0.143598
317.7,626362.3512,207.922,0.143094
317.6,514560.5655,208.324,0.148838
317.5,980772.3214,208.099,0.145626
317.4,643987.6488,208.239,0.147622
317.3,664152.9762,208.159,0.146486
317.2,926353.4226,208.015,0.144425
317.1,417656.1012,208.484,0.151139
317,553277.0833,208.713,0.15441
316.9,763403.125,208.447,0.150604
316.8,724011.1607,208.353,0.149259
316.7,942267.8571,208.427,0.150312
316.6,1134751.488,208.378,0.149615
316.5,434239.5833,208.594,0.15271
316.4,186349.5536,208.857,0.156465
316.3,600244.6429,207.257,0.133551
316.2,414871.5774,207.652,0.139212
316.1,802037.2024,207.944,0.143403
316,769978.2738,207.578,0.138155
315.9,722291.6667,207.773,0.14095
315.8,58038.09524,208.375,0.149567
315.7,564542.5595,207.912,0.142948
315.6,484952.2321,208.489,0.151204
315.5,992619.0476,208.646,0.153455
315.4,829553.5714,207.146,0.131955
315.3,881357.1429,208.237,0.147605
315.2,741527.2321,207.815,0.141551
315.1,610387.3512,207.857,0.142152
315,756953.869,207.652,0.139212
314.9,320653.125,207.988,0.144036
314.8,482503.125,207.994,0.144117
314.7,607877.0833,207.686,0.139699
314.6,679421.131,208.243,0.147686
314.5,234013.6905,208.007,0.144312
314.4,304450.744,208.106,0.145724
314.3,1002570.685,207.481,0.136756
314.2,602554.0179,208.244,0.147703
314.1,962294.6429,207.749,0.140609
314,482702.5298,207.537,0.13757
313.9,898774.256,208.129,0.146048
313.8,623566.369,207.042,0.130456
313.7,436472.9167,207.576,0.138123
313.6,397563.3929,207.274,0.133795
313.5,527180.3571,208.062,0.145091
313.4,887648.8095,208.095,0.145561
313.3,170073.5119,207.577,0.138139
313.2,375890.0298,207.571,0.138057
313.1,702761.756,207.96,0.14363
313,551109.5238,207.911,0.142932
312.9,824508.9286,206.623,0.124423
312.8,393270.3869,208.423,0.150264
312.7,268824.256,206.94,0.128989
312.6,321485.5655,207.981,0.143938
312.5,494699.256,208.231,0.147508
312.4,173255.506,206.838,0.127522
312.3,665549.256,207.218,0.132981
312.2,517073.0655,208.03,0.144636
312.1,530546.131,208.35,0.14921
312,323464.7321,208.371,0.149518
311.9,468500.1488,207.773,0.14095
311.8,581914.5833,207.444,0.136236
311.7,508265.9226,208.821,0.155947
311.6,686034.2262,208.011,0.14436
311.5,1035508.929,207.877,0.142445
311.4,575468.1548,208.22,0.147362
311.3,729665.1786,207.876,0.142429
311.2,309027.6786,208.026,0.144571
311.1,600043.8988,209.352,0.163527
311,876635.4167,207.696,0.139846
310.9,741481.8155,207.295,0.134088
310.8,461370.2381,207.451,0.136334
310.7,696059.2262,206.902,0.128436
310.6,487747.619,208.433,0.15041
310.5,362871.875,207.657,0.139293
