TITLE,ECTC_PROTEIN&ADDITIVE_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:49:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [molar ellipticity],,
Y2UNITS,HT [V] (did not change),,
Y3UNITS,ABSORBANCE (did not change),,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.00528,,
MAXY,53.38551,,
MINY,-55.11642,,
XYDATA,,,
320,653360.7143,207.946,0.143435
319.9,780111.0119,208.24,0.147638
319.8,468751.6369,208.261,0.147946
319.7,40080.50595,208.708,0.154329
319.6,368120.0893,207.781,0.141064
319.5,746369.0476,208.342,0.149097
319.4,85222.32143,207.986,0.144003
319.3,364680.2083,207.416,0.135829
319.2,1066209.821,208.278,0.148189
319.1,734580.506,208.482,0.151106
319,203450.744,207.708,0.140024
318.9,925654.7619,207.987,0.14402
318.8,730880.0595,208.726,0.154588
318.7,665992.5595,208.554,0.152127
318.6,495591.369,208.456,0.150734
318.5,702369.0476,208.336,0.149016
318.4,102861.6369,208.622,0.153098
318.3,509341.369,208.167,0.1466
318.2,341612.9464,208.185,0.146859
318.1,458294.3452,207.886,0.142574
318,440356.1012,208.38,0.149648
317.9,453181.5476,208.181,0.146794
317.8,177668.4524,207.958,0.143598
317.7,765989.5833,207.922,0.143094
317.6,467612.5149,208.324,0.148838
317.5,948806.5476,208.099,0.145626
317.4,214945.6845,208.239,0.147622
317.3,554584.0774,208.159,0.146486
317.2,554090.4762,208.015,0.144425
317.1,1088648.81,208.484,0.151139
317,387823.8095,208.713,0.15441
316.9,312798.3631,208.447,0.150604
316.8,376639.881,208.353,0.149259
316.7,559795.9821,208.427,0.150312
316.6,310002.0833,208.378,0.149615
316.5,1166825.893,208.594,0.15271
316.4,343165.1786,208.857,0.156465
316.3,196019.6429,207.257,0.133551
316.2,467591.8155,207.652,0.139212
316.1,623827.2321,207.944,0.143403
316,499134.5238,207.578,0.138155
315.9,519404.1667,207.773,0.14095
315.8,120152.5,208.375,0.149567
315.7,783278.2738,207.912,0.142948
315.6,636607.4405,208.489,0.151204
315.5,267579.3155,208.646,0.153455
315.4,583043.8988,207.146,0.131955
315.3,106900,208.237,0.147605
315.2,957011.9048,207.815,0.141551
315.1,426596.7262,207.857,0.142152
315,469150.6548,207.652,0.139212
314.9,713518.8988,207.988,0.144036
314.8,289281.9345,207.994,0.144117
314.7,315690.744,207.686,0.139699
314.6,409830.2083,208.243,0.147686
314.5,534660.7143,208.007,0.144312
314.4,932086.3095,208.106,0.145724
314.3,321198.3631,207.481,0.136756
314.2,917299.1071,208.244,0.147703
314.1,131486.0268,207.749,0.140609
314,232424.5982,207.537,0.13757
313.9,721156.25,208.129,0.146048
313.8,343502.2321,207.042,0.130456
313.7,409863.6905,207.576,0.138123
313.6,483621.5774,207.274,0.133795
313.5,271323.2307,208.062,0.145091
313.4,452451.3393,208.095,0.145561
313.3,412929.4643,207.577,0.138139
313.2,1282110.119,207.571,0.138057
313.1,198415.1786,207.96,0.14363
313,788097.4702,207.911,0.142932
312.9,76036.45833,206.623,0.124423
312.8,535464.1369,208.423,0.150264
312.7,431073.2143,206.94,0.128989
312.6,782334.6726,207.981,0.143938
312.5,220046.2798,208.231,0.147508
312.4,455807.3958,206.838,0.127522
312.3,233395.7292,207.218,0.132981
312.2,219944.3304,208.03,0.144636
312.1,482853.869,208.35,0.14921
312,-48602.61458,208.371,0.149518
311.9,418303.869,207.773,0.14095
311.8,669321.4286,207.444,0.136236
311.7,437904.3155,208.821,0.155947
311.6,409426.9345,208.011,0.14436
311.5,478860.4167,207.877,0.142445
311.4,131218.3929,208.22,0.147362
311.3,64583.92857,207.876,0.142429
311.2,673361.6071,208.026,0.144571
311.1,639809.1518,209.352,0.163527
311,591579.9107,207.696,0.139846
310.9,305381.8452,207.295,0.134088
310.8,503386.1607,207.451,0.136334
310.7,514569.9405,206.902,0.128436
310.6,728388.0952,208.433,0.15041
