TITLE,SL + BM Corrected Average Protein,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
320,169.7688775,208.822,0.155963
319.9,231.0098155,208.863,0.156546
319.8,402.509722,209.168,0.160895
319.7,271.4240646,208.361,0.149372
319.6,-311.5445731,209.247,0.162025
319.5,605.3884928,209.089,0.15978
319.4,816.0798959,209.356,0.163576
319.3,351.0324901,208.832,0.156109
319.2,235.1605929,209.099,0.159909
319.1,346.6881686,208.821,0.155947
319,-154.1477813,209.344,0.163414
318.9,-106.3175165,209.234,0.161848
318.8,345.3151963,208.27,0.148075
318.7,195.5100988,208.833,0.156125
318.6,21.63823452,208.784,0.155413
318.5,436.8052964,208.398,0.149907
318.4,511.4394888,207.891,0.14264
318.3,92.83567852,208.585,0.15258
318.2,904.5425191,208.234,0.147557
318.1,829.5447615,208.669,0.153779
318,-167.148141,208.985,0.158292
317.9,621.0916219,208.79,0.15551
317.8,411.9784967,208.929,0.157484
317.7,-230.1183215,209.046,0.159165
317.6,908.1388669,209.151,0.160652
317.5,-284.1543557,208.88,0.156788
317.4,-101.2240303,208.224,0.147411
317.3,-43.04883136,209.261,0.162219
317.2,-371.8889552,208.522,0.151673
317.1,49.26740448,208.957,0.157888
317,-573.3940092,208.711,0.154377
316.9,629.883141,208.165,0.146567
316.8,365.5977286,208.344,0.149129
316.7,239.0270092,208.711,0.154377
316.6,-81.33915679,208.787,0.155462
316.5,-409.7582477,208.875,0.156724
316.4,-751.956639,208.389,0.149778
316.3,98.06891845,208.285,0.148286
316.2,-58.62958103,208.577,0.152467
316.1,522.468259,208.518,0.151625
316,424.5846665,207.578,0.138155
315.9,89.33952701,208.967,0.158034
315.8,593.968942,208.61,0.152936
315.7,12.78135705,208.463,0.150831
315.6,440.8310145,208.174,0.146697
315.5,-94.1881054,208.572,0.152386
315.4,737.667722,208.575,0.152434
315.3,275.1603597,208.814,0.15585
315.2,-61.33041502,208.703,0.154264
315.1,-594.5765217,207.272,0.133762
315,-105.8064706,207.601,0.13848
314.9,-265.7789776,208.575,0.152434
314.8,-9.939533597,208.01,0.144344
314.7,466.3679723,207.852,0.142087
314.6,741.729469,209.1,0.159925
314.5,371.0896179,207.933,0.14324
314.4,785.671581,208.321,0.148805
314.3,33.45693281,208.263,0.147978
314.2,-67.46114888,208.79,0.15551
314.1,890.8202398,208.197,0.147021
314,476.4860132,208.098,0.14561
313.9,-749.5040924,207.982,0.143955
313.8,-381.999552,207.726,0.140284
313.7,418.3882319,208.634,0.153276
313.6,40.55657839,208.131,0.146081
313.5,-184.074469,208.047,0.14488
313.4,215.3638564,207.87,0.142347
313.3,747.9336008,207.741,0.140495
313.2,830.7211377,208.74,0.154798
313.1,1021.881183,207.501,0.137049
313,925.05522,207.692,0.139797
312.9,-259.1092978,208.21,0.147216
312.8,-367.3796746,207.944,0.143403
312.7,425.6214229,207.057,0.130668
312.6,-58.55886298,208.5,0.151366
312.5,535.4410461,208.021,0.144506
312.4,169.1039789,207.978,0.14389
312.3,601.7059433,207.853,0.142104
312.2,277.0334203,207.911,0.142932
312.1,820.6392747,207.887,0.142591
312,-302.9035718,208.111,0.145789
311.9,406.4121673,208.304,0.148562
311.8,540.7133075,208.243,0.147686
311.7,628.0361344,208.356,0.149307
311.6,109.8797708,207.678,0.139586
311.5,-303.8519381,208.459,0.150782
311.4,328.4146245,208.198,0.147037
311.3,494.6501304,207.366,0.135113
311.2,1222.214253,207.985,0.143987
311.1,-83.32194203,208.203,0.147119
311,298.6132938,207.87,0.142347
310.9,485.8940448,208.393,0.149826
310.8,187.0020474,207.678,0.139586
310.7,263.6354018,207.976,0.143857
310.6,244.2480112,207.716,0.140138
