TITLE,SL + BM Corrected Average Protein and KCl,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
320,-221.9828573,208.822,0.155963
319.9,76.25385873,208.863,0.156546
319.8,149.8710514,209.168,0.160895
319.7,511.6232066,208.361,0.149372
319.6,48.61828707,209.247,0.162025
319.5,895.8087653,209.089,0.15978
319.4,-41.62166665,209.356,0.163576
319.3,359.4279881,208.832,0.156109
319.2,226.05717,209.099,0.159909
319.1,-217.352001,208.821,0.155947
319,-35.52085771,209.344,0.163414
318.9,-426.9346943,209.234,0.161848
318.8,486.6819185,208.27,0.148075
318.7,-50.34633845,208.833,0.156125
318.6,-127.2098617,208.784,0.155413
318.5,420.7517036,208.398,0.149907
318.4,136.1434125,207.891,0.14264
318.3,342.7368908,208.585,0.15258
318.2,430.5210672,208.234,0.147557
318.1,-150.0288641,208.669,0.153779
318,373.0724032,208.985,0.158292
317.9,720.6918172,208.79,0.15551
317.8,-203.9495163,208.929,0.157484
317.7,537.6556374,209.046,0.159165
317.6,147.81728,209.151,0.160652
317.5,401.3667694,208.88,0.156788
317.4,141.6717772,208.224,0.147411
317.3,-206.0762688,209.261,0.162219
317.2,464.9073692,208.522,0.151673
317.1,-85.75896047,208.957,0.157888
317,103.0205662,208.711,0.154377
316.9,1131.09546,208.165,0.146567
316.8,238.0438049,208.344,0.149129
316.7,377.9191951,208.711,0.154377
316.6,25.99714625,208.787,0.155462
316.5,-47.89085873,208.875,0.156724
316.4,7.086693166,208.389,0.149778
316.3,345.6728063,208.285,0.148286
316.2,1308.283673,208.577,0.152467
316.1,175.4084408,208.518,0.151625
316,533.9555207,207.578,0.138155
315.9,-240.7607926,208.967,0.158034
315.8,324.784332,208.61,0.152936
315.7,386.5284847,208.463,0.150831
315.6,886.8842964,208.174,0.146697
315.5,479.8116971,208.572,0.152386
315.4,-34.47527273,208.575,0.152434
315.3,282.3308721,208.814,0.15585
315.2,621.8637144,208.703,0.154264
315.1,165.2561724,207.272,0.133762
315,287.386543,207.601,0.13848
314.9,194.1722623,208.575,0.152434
314.8,35.07198419,208.01,0.144344
314.7,593.5340632,207.852,0.142087
314.6,245.469498,209.1,0.159925
314.5,222.4849407,207.933,0.14324
314.4,268.6313715,208.321,0.148805
314.3,-506.7080791,208.263,0.147978
314.2,482.1519432,208.79,0.15551
314.1,178.4322105,208.197,0.147021
314,614.123586,208.098,0.14561
313.9,441.833871,207.982,0.143955
313.8,466.6465866,207.726,0.140284
313.7,370.7909644,208.634,0.153276
313.6,650.2302429,208.131,0.146081
313.5,422.6511161,208.047,0.14488
313.4,155.8441214,207.87,0.142347
313.3,147.6152199,207.741,0.140495
313.2,619.3830736,208.74,0.154798
313.1,-437.4276151,207.501,0.137049
313,187.7506166,207.692,0.139797
312.9,454.6310241,208.21,0.147216
312.8,722.8703794,207.944,0.143403
312.7,245.3623045,207.057,0.130668
312.6,151.8517525,208.5,0.151366
312.5,391.7907862,208.021,0.144506
312.4,62.05918284,207.978,0.14389
312.3,474.1701234,207.853,0.142104
312.2,-80.89549407,207.911,0.142932
312.1,310.1294679,207.887,0.142591
312,285.596706,208.111,0.145789
311.9,463.8285247,208.304,0.148562
311.8,231.4178958,208.243,0.147686
311.7,450.6563568,208.356,0.149307
311.6,159.8620978,207.678,0.139586
311.5,135.607295,208.459,0.150782
311.4,-1.873656126,208.198,0.147037
311.3,20.36099209,207.366,0.135113
311.2,268.4067115,207.985,0.143987
311.1,289.2150884,208.203,0.147119
311,-157.0018131,207.87,0.142347
310.9,152.4788355,208.393,0.149826
310.8,284.3780181,207.678,0.139586
310.7,267.9617085,207.976,0.143857
310.6,-57.76667207,207.716,0.140138
