TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
320,0.444899,139.9271863,0.1660243333
319.9,0.6052756667,139.685671,0.1689746667
319.8,1.25536,139.7226817,0.1663503333
319.7,1.300204333,139.871423,0.168426
319.6,1.029717333,139.696719,0.165964
319.5,1.073184,139.8579537,0.16716
319.4,1.4485534,139.6997997,0.167243
319.3,1.214252333,139.5102873,0.1639286667
319.2,1.040712333,139.6388103,0.166151
319.1,1.86093,139.4007937,0.159482
319,1.353525333,139.5380113,0.1623363333
318.9,2.02619,139.3171103,0.156846
318.8,0.4689046667,139.6124017,0.166349
318.7,1.106834233,139.7560203,0.1626723333
318.6,1.119815,139.4023113,0.1596713333
318.5,0.891475,139.4351863,0.158091
318.4,0.3391556667,139.4014167,0.1569973333
318.3,0.8074943333,139.5113483,0.1616793333
318.2,1.593406667,139.7990683,0.164789
318.1,1.387657667,139.8094073,0.1668193333
318,0.7849946667,139.503998,0.1624333333
317.9,2.14077,139.8518537,0.1659896667
317.8,1.960761,140.13156,0.169635
317.7,0.9740931667,139.2485897,0.1571273333
317.6,0.7791946667,139.3965423,0.161436
317.5,1.171987333,139.4631763,0.163821
317.4,1.043573,139.3411073,0.1566046667
317.3,0.9326993333,140.0869447,0.1656063333
317.2,1.398011667,139.6327533,0.164692
317.1,1.366572667,139.450393,0.158151
317,1.694588633,139.675674,0.161935
316.9,0.3986343333,139.529404,0.1621536667
316.8,1.36341,139.709413,0.1626156667
316.7,0.9743976667,139.5865957,0.1644433333
316.6,1.207346,139.432782,0.163563
316.5,1.158811667,139.665896,0.16656
316.4,1.505373333,138.9146103,0.1495383333
316.3,1.714453333,139.7504773,0.1619173333
316.2,1.208858667,140.1070253,0.1692343333
316.1,1.135801,139.7852617,0.164681
316,1.227237,139.7398097,0.162163
315.9,1.368980667,139.3262213,0.1582383333
315.8,0.30585437,139.7283373,0.1632496667
315.7,-0.4184526667,139.417599,0.1639936667
315.6,0.354651,139.257748,0.1563506667
315.5,1.728074233,139.5664893,0.1639603333
315.4,1.138710333,139.5030813,0.1595033333
315.3,1.356028067,139.529439,0.157657
315.2,0.757939,138.9793203,0.153659
315.1,1.516786,139.2408053,0.1563886667
315,1.104274667,139.248041,0.1552546667
314.9,0.7282793333,139.3120353,0.159535
314.8,0.6698923333,139.2197577,0.1575286667
314.7,1.311170333,139.404362,0.1555913333
314.6,0.2458983333,139.2928763,0.1582373333
314.5,1.950666667,139.1768193,0.1557196667
314.4,-0.5781243,139.2582443,0.157208
314.3,1.084554333,139.617073,0.1618673333
314.2,0.922216,139.2681043,0.156211
314.1,0.940696,139.239319,0.1552116667
314,1.630401333,139.037907,0.15246
313.9,0.5338566667,139.5288307,0.159401
313.8,1.243123333,139.1647977,0.1560693333
313.7,0.916085,139.4415687,0.1590766667
313.6,2.044193333,139.4252303,0.15691
313.5,1.870993333,138.9559957,0.151118
313.4,1.8675,139.111074,0.1550543333
313.3,0.442421,138.9674663,0.1482786667
313.2,0.4508213333,139.448632,0.154807
313.1,1.039838,139.2971137,0.1549203333
313,1.502027333,139.3781913,0.1602183333
312.9,1.077499667,139.31468,0.15466
312.8,1.78719,139.4041817,0.1565746667
312.7,0.6533233333,138.8737887,0.1499423333
312.6,1.328307,139.1591133,0.1537303333
312.5,0.749386,139.04228,0.1540903333
312.4,1.285507,139.077586,0.1515163333
312.3,1.325046667,139.010045,0.1523246667
312.2,0.9241843333,138.939045,0.1483486667
312.1,0.001296333333,138.7517833,0.148673
312,0.7496226667,139.486594,0.1625593333
311.9,0.1947943333,139.344539,0.1600783333
311.8,0.6739353333,139.5336463,0.161077
