TITLE,TB TH  KD_ Buffer and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:01:55,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.10152,,
MAXY,24.87453,,
MINY,-18.08336,,
XYDATA,,,
320,0.5373516667,209.719,0.1687403333
319.9,1.211167333,209.53,0.166054
319.8,1.108878667,209.102,0.1599536667
319.7,1.114007333,209.7456667,0.1691183333
319.6,1.513163333,209.164,0.1608383333
319.5,2.109223333,209.7216667,0.168786
319.4,1.036481,209.0913333,0.1598053333
319.3,1.578878333,208.865,0.1565766667
319.2,1.041655667,209.0793333,0.1596226667
319.1,0.752867,209.0396667,0.1590586667
319,-0.1527183333,209.0066667,0.1585953333
318.9,0.6518326667,209.2623333,0.162242
318.8,1.191323,209.2816667,0.1625106667
318.7,0.9520406667,208.7483333,0.1549073333
318.6,0.412695,208.6503333,0.1535043333
318.5,1.428546,209.2086667,0.16148
318.4,1.468825,209.122,0.160241
318.3,0.4615976667,209.092,0.159814
318.2,1.026995667,208.767,0.1551566667
318.1,1.079065,209.2793333,0.162471
318,1.780316667,209,0.1585
317.9,1.319052667,208.588,0.1526146667
317.8,1.600677333,208.5503333,0.15208
317.7,0.9474737333,208.765,0.155134
317.6,0.7857706667,209.1603333,0.1607916667
317.5,1.597343333,209.0883333,0.1597666667
317.4,1.569828667,208.772,0.1552463333
317.3,0.8279553333,208.6983333,0.1541923333
317.2,2.478246333,208.9233333,0.157408
317.1,0.707583,209.16,0.1607696667
317,0.4806743333,208.9823333,0.1582446667
316.9,1.463154667,209.3796667,0.1639086667
316.8,1.942553333,208.7443333,0.1548573333
316.7,1.541214667,208.99,0.1583616667
316.6,1.342524667,209.901,0.1713256667
316.5,1.611944667,208.6186667,0.1530493333
316.4,-0.147128,208.9353333,0.1575796667
316.3,1.86402,208.846,0.1562996667
316.2,1.536216667,208.1803333,0.1467716667
316.1,1.420424,208.5806667,0.1524996667
316,0.299618,209.1356667,0.1604383333
315.9,2.46484,208.8613333,0.156521
315.8,1.596013333,208.6063333,0.1528706667
315.7,1.398905333,209.2926667,0.1626693333
315.6,1.59423,208.697,0.1541583333
315.5,1.364517,208.9216667,0.157381
315.4,0.339669,208.982,0.1582276667
315.3,1.107706333,208.6983333,0.154192
315.2,1.177555,208.067,0.145159
315.1,0.2745133333,208.414,0.1501113333
315,0.4607763333,208.2256667,0.1474333333
314.9,0.54231,209.257,0.1621693333
314.8,1.113118,208.3956667,0.149866
314.7,1.00344,208.349,0.1491766667
314.6,2.019146667,208.4256667,0.1502946667
314.5,0.9437733333,208.8836667,0.156808
314.4,1.825253667,208.0876667,0.1454563333
314.3,1.04177,208.4626667,0.1508223333
314.2,1.83904,209.234,0.1618366667
314.1,1.791116667,208.6973333,0.154176
314,1.953591667,207.873,0.142384
313.9,0.444152,208.4276667,0.1502913333
313.8,1.447403667,208.124,0.1459813333
313.7,0.588807,208.3373333,0.149025
313.6,0.152815,208.7853333,0.1554383333
313.5,0.7758996667,207.972,0.143793
313.4,1.414842333,208.3096667,0.148635
313.3,0.09764533333,208.982,0.158231
313.2,1.522517667,207.301,0.1341773333
313.1,0.5888953333,208.1493333,0.1463353333
313,2.072894333,209.0086667,0.158626
312.9,1.270049,208.4003333,0.1499273333
312.8,-0.1325276667,207.8593333,0.1421823333
312.7,0.9719326667,208.1173333,0.1458853333
312.6,1.444601333,208.2813333,0.148219
312.5,1.152870667,208.079,0.1453343333
312.4,0.2329606667,207.9166667,0.1429993333
312.3,0.9489951,207.7626667,0.140789
312.2,1.085039667,208.2343333,0.1475523333
312.1,0.799177,208.1336667,0.146068
312,1.110576,208.845,0.1562853333
311.9,1.101633,208.1103333,0.145782
311.8,1.882610852,208.4446667,0.1505436667
311.7,1.282852333,209.1286667,0.160325
