TITLE,TB_TH_KD_Buffer and Protein,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:46:33,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.52488,,
MAXY,54.35196,,
MINY,-54.54156,,
XYDATA,,,
320,0.819783833,139.3720668,153.3972836
319.9,0.663799567,139.2745627,153.2794541
319.8,0.418298667,139.4804763,153.232925
319.7,1.251410333,139.127905,153.3597718
319.6,0.983249,138.9764347,153.1865612
319.5,0.510667267,139.2204533,153.0770402
319.4,0.905298333,138.6190467,152.9747817
319.3,0.761928,139.4723283,153.1780854
319.2,0.145255,139.5413277,152.9621942
319.1,0.570324067,139.49552,153.0552814
319,0.650112167,139.1875007,152.9458709
318.9,0.169252,139.8705813,152.9799444
318.8,0.859442,139.4738813,153.0444411
318.7,1.134188,139.2581283,153.0307721
318.6,0.743697667,139.6731102,153.0056026
318.5,0.400207667,139.69528,152.8651626
318.4,0.494727,139.3921503,152.7622924
318.3,0.002683786,139.3971563,152.5666134
318.2,0.111527,138.8234367,152.3783212
318.1,-0.999402667,139.742948,152.2811818
318,0.472018333,138.8944067,152.455475
317.9,0.818642,140.29044,153.0030273
317.8,0.261074833,139.287755,152.4496099
317.7,0.959310667,139.4267282,152.6953463
317.6,1.2691223,139.375142,152.7480881
317.5,0.872718233,138.94997,152.4408961
317.4,0.506814,139.180455,152.362423
317.3,-0.1844511,138.61833,151.911293
317.2,0.810752667,139.6864245,152.5657257
317.1,0.800223667,139.4479863,152.4494033
317,0.478595,139.643147,152.373914
316.9,0.035942333,139.5461067,152.160683
316.8,0.379889667,139.459432,152.2131072
316.7,1.385689667,139.5186923,152.534794
316.6,1.051019333,139.528517,152.3931788
316.5,1.0667785,139.6988243,152.4218676
316.4,0.347861,139.3188433,152.0222348
316.3,0.9436358,139.7119753,152.318537
316.2,1.306774667,139.0599297,152.1889014
316.1,0.521460333,139.016799,151.8794198
316,-0.1353075,139.4567217,151.7738047
315.9,0.035551667,139.6184,151.8513172
315.8,0.364248433,139.3094573,151.8245686
315.7,0.451518033,138.9131233,151.6882138
315.6,-0.242765133,139.1679417,151.5083922
315.5,0.811427967,139.395454,151.902294
315.4,-0.085867667,139.2755023,151.5298782
315.3,0.102825633,139.559634,151.6541532
315.2,0.388403667,139.2435321,151.6106453
315.1,0.785878933,139.741411,151.8757633
315,0.478235,139.03637,151.5048683
314.9,0.061170867,138.8605797,151.2739168
314.8,0.441462667,138.9239917,151.3884848
314.7,1.507472667,139.0694433,151.758972
314.6,0.721069,138.5538407,151.2916366
314.5,0.836819967,139.3253893,151.5540698
314.4,0.630206333,138.6598433,151.2300166
314.3,0.787990667,139.1257367,151.4045758
314.2,1.198668,139.5396353,151.6461011
314.1,0.042103333,138.91283,151.0183111
314,1.938464,139.2200313,151.7194984
313.9,0.262971033,138.6928093,150.9519268
313.8,0.1372319,140.1100467,151.3490929
313.7,0.359103,139.9677167,151.3422732
313.6,0.096356,138.5042307,150.7335289
313.5,0.410201667,139.2138477,151.0413498
313.4,1.393399667,139.0260043,151.2731347
313.3,0.960216,138.8760233,151.0454131
313.2,-0.283564667,139.176359,150.6975981
313.1,0.7378643,138.8019115,150.8799253
313,0.873203,138.4607167,150.7779732
312.9,0.274249033,138.9324583,150.7022358
312.8,0.959940667,138.8174203,150.8591203
312.7,0.230127033,139.1198133,150.6833135
312.6,0.562811667,138.9265687,150.6964601
312.5,1.247102,139.61958,151.1222273
312.4,0.711800633,138.7549703,150.622257
312.3,0.738344333,138.4869367,150.508427
312.2,0.6214803,138.8506743,150.5573849
312.1,0.636856,138.9326823,150.5565128
312,0.325673667,139.17338,150.4996846
311.9,1.188734333,138.5469933,150.5452426
311.8,0.772930333,139.2909513,150.6212939
311.7,0.458331933,138.757011,150.3051143
311.6,0.791587333,139.0319877,150.474525
