TITLE,ds + JL Protein and buffer,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,15:32:57,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.24368,,
MAXY,47.00092,,
MINY,-74.42773,,
XYDATA,,,
320,-1.625564667,209.332,0.163237
319.9,-0.72129,208.861,0.156513
319.8,-1.989706667,209.014,0.158696
319.7,-0.114859967,208.692,0.154102
319.6,-0.728418333,210.022,0.173056
319.5,-2.372333333,209.563,0.166529
319.4,0.267273333,209.797,0.169851
319.3,-0.085827667,209.973,0.172364
319.2,-0.961509333,208.669,0.153779
319.1,-0.728346333,209.459,0.165045
319,-0.90938,210.055,0.173523
318.9,-0.768893667,209.109,0.160054
318.8,0.267853667,207.522,0.137358
318.7,-0.113227,208.437,0.150458
318.6,-0.86568,209.063,0.159408
318.5,-1.2828909,208.59,0.152645
318.4,0.98172,209.042,0.159101
318.3,-1.298796667,207.109,0.131417
318.2,-0.290605333,209.306,0.162865
318.1,-0.827051,209.546,0.166287
318,-0.901647667,209.484,0.165399
317.9,-2.270625,209.111,0.160087
317.8,-0.458026667,208.797,0.155607
317.7,0.109121,208.278,0.148189
317.6,-0.068266633,208.695,0.154151
317.5,-1.525843333,208.746,0.154879
317.4,0.222242667,209.508,0.165739
317.3,-0.530554,209.27,0.162348
317.2,-0.897461,208.652,0.153536
317.1,-0.607440333,209.037,0.159036
317,0.376027333,210.13,0.174586
316.9,-0.115658333,208.855,0.156432
316.8,-0.817432667,208.351,0.149226
316.7,-0.857523667,209.13,0.160361
316.6,-0.076876833,210.216,0.175809
316.5,0.275806,209.029,0.158923
316.4,-0.570418333,208.55,0.152078
316.3,-0.994412667,209.069,0.159489
316.2,-0.849166333,210.41,0.17856
316.1,-0.591952,208.825,0.156012
316,0.143278667,209.613,0.167239
315.9,-0.704160667,209.058,0.159327
315.8,-1.265383,208.918,0.157338
315.7,-0.944780667,208.859,0.156497
315.6,1.026615333,208.504,0.151414
315.5,0.112004,209.089,0.15978
315.4,-2.259910667,208.706,0.154313
315.3,-2.224145,208.976,0.158163
315.2,-0.928139667,209.876,0.170979
315.1,0.255576667,208.666,0.15373
315,0.328867333,208.404,0.149988
314.9,-1.209208667,209.528,0.166029
314.8,-0.797658,206.967,0.129381
314.7,-0.516854,209.067,0.159456
314.6,-0.095204333,209.103,0.159973
314.5,-0.791036,209.263,0.162251
314.4,-1.261729333,207.943,0.143386
314.3,-0.109110333,209.195,0.161282
314.2,-1.042431267,209.608,0.167174
314.1,-0.811423333,209.257,0.162171
314,-0.754125333,208.31,0.148643
313.9,0.350982667,208.554,0.152127
313.8,-0.0898957,206.777,0.126642
313.7,-1.56449,207.413,0.13578
313.6,-0.058033667,208.114,0.145837
313.5,-0.7146757,207.936,0.143289
313.4,-1.157324333,207.562,0.137927
313.3,-0.522682333,208.467,0.150896
313.2,-0.6572137,208.369,0.149486
313.1,-2.142073,208.055,0.144993
313,-0.504009667,208.157,0.146454
312.9,-1.375317333,208.838,0.15619
312.8,-1.0689336,208.311,0.148659
312.7,-0.466136333,207.646,0.13913
312.6,0.704290133,208.981,0.158228
312.5,-0.01947,208.087,0.145448
312.4,-1.156994,209.407,0.164302
312.3,-0.408326333,209.267,0.162316
312.2,-1.269078,209.641,0.167642
312.1,-1.429004333,208.627,0.153179
312,-0.698747667,209.553,0.166384
311.9,-0.716104667,208.611,0.152953
311.8,-1.4545594,209.171,0.160943
311.7,0.605732333,208.992,0.158389
311.6,-0.873928667,208.856,0.156449
311.5,-1.313172333,209.348,0.163462
311.4,-0.386798333,207.998,0.144182
311.3,0.835992933,208.761,0.15509
311.2,-1.134852333,208.409,0.150053
311.1,-0.579506867,207.793,0.141243
311,0.068527667,207.664,0.13939
310.9,-0.2579,208.07,0.145204
310.8,-1.196216333,208.284,0.14827
